CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001002;91100;01;01;Sesiones del Pleno;NÚMERO;18;17
001002;91100;01;02;Sesiones de las Comisiones del Pleno;NÚMERO;98;93
001002;91100;02;01;Actualizaciones de la información;NÚMERO;500;796
001002;91100;02;02;Documentos accesibles a través de la web;NÚMERO;3200;5266
001002;91100;02;03;Modificación de páginas web para adaptación ROP;NÚMERO;10;0
001002;91100;03;01;Actualizaciones de datos;NÚMERO;50;13
001002;91100;04;07;Anotaciones en el Registro de Causas de Posible Incompatibilidad y de Actividades de los Concejales;NÚMERO;8;1
001002;91100;04;06;Anotaciones en el Registro de Bienes Patrimoniales de los Concejales;NÚMERO;15;8
001002;91100;04;05;Incorporación de documentación asociada a los asientos del Registro de Distinciones honoríficas;NÚMERO;24;48
001002;91100;04;04;Anotaciones de distinciones concedidas en el Registro de Distinciones Honoríficas;NÚMERO;12;10
001002;91100;04;03;Incorporación de documentación asociada a los asientos del Registro del Pleno;NÚMERO;2500;2261
001002;91100;04;02;Asientos de salida en el Registro del Pleno;NÚMERO;1300;846
001002;91100;04;01;Asientos de entrada en el Registro del Pleno;NÚMERO;1200;1415
001002;91101;01;01;Contratos tramitados por procedimiento abierto;NÚMERO;1;2
001002;91101;01;02;Contratos tramitados por procedimiento negociado;NÚMERO;1;1
001002;91101;01;03;Contratos menores tramitados;NÚMERO;40;44
001002;91101;01;04;Documentos contables realizados;NÚMERO;150;186
001002;91101;02;01;Edificio con mantenimiento integral y limpieza adscrito a los Grupos Políticos Municipales;NÚMERO;1;1
001002;91101;02;02;Instalaciones de elevación y electromecánicas con mantenimiento;NÚMERO;2;2
001002;91101;02;03;Instalaciones de elementos de control de objetos y personas;NÚMERO;2;2
001002;91101;02;04;Instalaciones de elementos de control de acceso y seguridad;NÚMERO;30;30
001002;92010;01;05;Actuaciones en materia de gestión de personal;NÚMERO;70;119
001002;92010;01;04;Documentos contables realizados;NÚMERO;175;313
001002;92010;01;03;Contratos menores tramitados;NÚMERO;60;52
001002;92010;01;02;Contratos tramitados por procedimiento negociado;NÚMERO;2;2
001002;92010;01;01;Contratos tramitados por procedimiento abierto;NÚMERO;1;2
001002;92010;02;01;Edificio con mantenimiento integral y limpieza sede de la de Presidencia del Pleno;NÚMERO;1;1
001002;92010;02;02;Instalaciones de elevación y electromecánicas con mantenimiento;NÚMERO;9;9
001002;92010;02;03;Instalaciones de elementos de control de objetos y personas;NÚMERO;2;2
001002;92010;02;04;Instalaciones de elementos de control de acceso y seguridad;NÚMERO;144;144
001002;92010;03;01;Ejecución de los planes de autoprotección implantados;NÚMERO;2;2
001012;91200;01;01;EXPEDIENTES APROBADOS POR LA JUNTA DE GOBIERNO.;NÚMERO;900;785
001012;91200;01;02;ACTAS DE LAS SESIONES.;NÚMERO;50;53
001012;91200;01;03;COMUNICACIONES A SECRETARIAS GENERALES TÉCNICAS.;NÚMERO;500;780
001012;91200;01;04;COMUNICACIONES A LA PRESIDENCIA DEL PLENO.;NÚMERO;120;95
001012;91200;01;05;INFORMACIÓN A GRUPOS MUNICIPALES.;NÚMERO;2500;2355
001012;91200;01;06;PROYECTOS NORMATIVOS TRAMITADOS.;NÚMERO;50;42
001012;91200;01;07;ALEGACIONES PRESENTADAS A PROYECTOS NORMATIVOS.;NÚMERO;200;1132
001012;91200;01;08;PUBLICACIONES EN BOLETINES OFICIALES.;NÚMERO;350;108
001012;91200;01;09;CONTENIDOS PUBLICADOS EN LA WEB MUNICIPAL.;NÚMERO;170;156
001012;91200;02;01;CONVENIOS INCORPORADOS AL REGISTRO.;NÚMERO;500;583
001012;91200;02;02;CONVENIOS INFORMATIZADOS SUSCRITOS CON ANTERIORIDAD A 2005.;NÚMERO;800;680
001012;91200;03;03;DECRETOS/RESOLUCIONES INCORPORADOS A LOS REGISTROS DE DECRETOS Y RESOLUCIONES.;NÚMERO;600;655
001012;91200;03;02;DOCUMENTOS AUTORIZADOS A LOS CIUDADANOS.;NÚMERO;4000;4749
001012;91200;03;01;CERTIFICACIONES EXPEDIDAS.;NÚMERO;100;69
001012;91200;04;01;EDICTOS PUBLICADOS DE LOS SERVICIOS MUNICIPALES Y SUS ORGANISMOS PÚBLICOS.;NÚMERO;1800;2250
001012;91200;04;02;EDICTOS DE OTRAS ADMINISTRACIONES E INSTITUCIONES PÚBLICAS.;NÚMERO;13000;9894
001012;91200;05;01;ORGANISMOS CON REPRESENTACIÓN MUNICIPAL A INCORPORAR AL REGISTRO.;NÚMERO;165;168
001012;92000;01;01;INFORMES EN MATERIA DE PERSONAL.;NÚMERO;15;15
001012;92000;02;01;EXPEDIENTES DE CONTRATACIÓN.;NÚMERO;25;21
001012;92000;02;02;DOCUMENTOS CONTABLES TRAMITADOS.;NÚMERO;1000;834
001012;92000;03;01;INFORMES JURÍDICOS.;NÚMERO;24;41
001012;92000;03;02;EXPEDIENTES DE SUBVENCIONES/CONVENIOS.;NÚMERO;6;8
001012;92000;03;03;ACUERDOS ADOPTADOS EN JUNTA DE GOBIERNO.;NÚMERO;60;0
001012;92000;03;04;ACUERDOS ADOPTADOS EN PLENO.;NÚMERO;20;0
001012;92000;04;01;ENTRADAS REGISTRO.;NÚMERO;45000;33000
001012;92000;04;02;SALIDAS REGISTRO.;NÚMERO;20000;10950
001012;92000;04;03;CIUDADANOS ATENDIDOS.;NÚMERO;6000;6000
001012;92000;05;01;Programas cofinanciados por fondos europeos.;NÚMERO;3;3
001012;92000;05;02;Tramitación de certificación de gastos.;NÚMERO;3;3
001012;92000;05;03;Verificaciones administrativas e in situ.;NÚMERO;54;51
001012;92000;05;04;Presentación de proyectos a convocatorias europeas.;NÚMERO;3;0
001012;92000;05;05;Asesoramientos individualizados para nuevas ayudas.;NÚMERO;15;6
001012;92009;01;02;Número de documentos digitalizados;NÚMERO;15500;61000
001012;92009;01;01;Número de expedientes archivados electrónicamente;NÚMERO;2200;8714
001012;92009;02;01;Minutas elaboradas;NÚMERO;350;1135
001012;92009;03;01;Recursos catalogados;NÚMERO;3500;0
001012;92009;03;02;Consultas atendidas;NÚMERO;170;0
001012;92201;01;01;Peticiones de información de los concejales tramitadas;NÚMERO;800;807
001012;92201;02;01;Proyectos de normas elaboradas;NÚMERO;1;0
001012;92201;02;02;Proyectos de normas informadas;NÚMERO;8;5
001012;92201;02;03;Proyectos de convenios informados;NÚMERO;4;10
001012;92201;03;01;Solicitudes de dictamen del Consejo Consultivo de la Comunidad de Madrid preparadas;NÚMERO;150;171
