Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;001;100;91216;60900;2021/000600;2021/000600;MEMORIAL EN HOMENAJE A LOS DEPORTADOS A CAMPOS DE CONCENTRACIÓN NAZIS;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;300000,00;-9413,80;290586,20;290586,20;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;62500;2021/000218;2021/000218;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;8000,00;0,00;8000,00;8000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;62599;2021/000218;2021/000218;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;10000,00;15000,00;3722,34;0,00;11277,66;11277,66;2508,20;0,00;2508,20
;;001;100;91230;63200;2021/000341;2021/000341;EDIFICIOS ADSCRITOS A LA SECRETARÍA GENERAL DEL PLENO. OBRAS DE REFORMA;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;63600;2021/000218;2021/000218;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;1050,00;1050,00;0,37;0,00;1049,63;1049,63;0,00;0,00;0,00
;;001;100;91240;62500;2021/000221;2021/000221;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;0,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91240;62599;2021/000221;2021/000221;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;10000,00;15000,00;3501,02;0,00;11498,98;11498,98;2729,49;0,00;2729,49
;;001;100;91240;63200;2021/000342;2021/000342;EDIFICIO C/ MAYOR, 71. REPARACIÓN DE ASCENSOR;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;15000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;102;92012;62301;2021/000163;2021/000163;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;40000,00;0,00;40000,00;40000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;102;92012;62302;2021/000343;2021/000343;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. ÚTILES Y HERRAMIENTAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;0,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00
