CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001100;91216;01;01;REUNIONES;NÚMERO/AÑO;250;251
001100;91216;01;02;BORRADORES ORDEN DEL DÍA ELABORADOS;NÚMERO/AÑO;35;21
001100;91216;01;03;JUNTAS DE PORTAVOCES;NÚMERO/AÑO;15;18
001100;91216;02;01;MEMORIALES ESCULTÓRICO-ARQUITECTÓNICOS;NÚMERO/AÑO;1;0
001100;91230;01;01;SESIONES DEL PLENO;NÚMERO/AÑO;25;21
001100;91230;01;02;SESIONES DE LAS COMISIONES DEL PLENO;NÚMERO/AÑO;124;106
001100;91230;01;03;RETRANSMISIÓN SOBRE SESIONES COMISIONES PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100;100
001100;91230;01;04;RETRANSMISIÓN SOBRE SESIONES COMISIONES NO PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100;100
001100;91230;02;01;ACTUALIZACIONES DE LA INFORMACIÓN;NÚMERO/AÑO;1800;2578
001100;91230;02;02;DOCUMENTOS ACCESIBLES A TRAVÉS DE LA WEB;NÚMERO/AÑO;6700;7655
001100;91230;03;01;ASIENTOS DE ENTRADA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;2000;2195
001100;91230;03;02;ASIENTOS DE SALIDA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;1500;360
001100;91230;03;03;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DEL PLENO;NÚMERO/AÑO;4200;4000
001100;91230;03;04;ANOTACIONES DE DISTINCIONES CONCEDIDAS EN EL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;10;13
001100;91230;03;05;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;100;90
001100;91230;03;06;ANOTACIONES EN EL REGISTRO DE BIENES PATRIMONIALES DE LOS CONCEJALES;NÚMERO/AÑO;65;61
001100;91230;03;07;ANOTACIONES EN EL REGISTRO DE CAUSAS DE POSIBLE INCOMPATIBILIDAD Y DE ACTIVIDADES DE LOS CONCEJALES;NÚMERO/AÑO;60;57
001100;91230;04;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;40;38
001100;91230;04;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;265;241
001100;91230;04;03;ACTUACIONES EN MATERIA DE GESTIÓN DE PERSONAL;NÚMERO/AÑO;330;305
001100;91230;05;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA SEDE DE LA PRESIDENCIA DEL PLENO;NÚMERO/AÑO;1;1
001100;91230;05;02;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO/AÑO;9;9
001100;91230;05;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;NÚMERO/AÑO;2;2
001100;91230;05;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;NÚMERO/AÑO;142;142
001100;91230;05;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;12;12
001100;91230;05;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;10;10
001100;91230;05;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1;1
001100;91230;05;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5;5
001100;91230;05;09;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;NÚMERO/AÑO;1;1
001100;91240;01;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;20;33
001100;91240;01;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;168;226
001100;91240;02;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA ADSCRITO A LOS GRUPOS POLÍTICOS MUNICIPALES;NÚMERO/AÑO;1;1
001100;91240;02;02;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO/AÑO;2;2
001100;91240;02;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;NÚMERO/AÑO;2;2
001100;91240;02;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;NÚMERO/AÑO;34;34
001100;91240;02;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;12;12
001100;91240;02;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;10;10
001100;91240;02;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1;1
001100;91240;02;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5;5
001101;91201;01;01;Reuniones;NÚMERO;250;530
001101;91201;01;02;Plenos;NÚMERO;25;22
001101;91201;01;03;Juntas de Gobierno presididas;NÚMERO;55;53
001102;49102;01;01;Estudios en materia de transformación digital y administración electrónica para mejora de los servicios de la ciudad;NÚMERO;4;5
001102;49102;01;02;Jornadas de concienciación y capacitación;NÚMERO;6;20
001102;49102;02;01;Estudios de gestión de datos para implantación en la ciudad;NÚMERO;2;2
001102;49102;02;02;Actos externos en materia de transformación digital;NÚMERO;4;22
001102;49102;02;03;Participación en grupos internacionales;NÚMERO;3;7
001102;49102;02;04;Creación de una GovTech Lab para innovación en servicios públicos para Madrid, con proyección internacional;NÚMERO;1;1
001102;91202;01;01;ACTIVIDADES PROGRAMADAS EN AGENDA;NÚMERO;363;930
001102;91202;01;02;ACTIVIDADES DE COORDINACIÓN CON GABINETES DE LAS ÁREAS DE GOBIERNO;NÚMERO;240;250
001102;91202;01;03;MINUTAS E INFORMES DE ASESORAMIENTO;NÚMERO;320;620
001102;91202;01;04;COMUNICACIONES, PETICIONES Y ESCRITOS GESTIONADOS;NÚMERO;8000;7689
001102;92002;01;01;ESTUDIOS;NÚMERO;80;90
001102;92002;01;02;INFORMES;NÚMERO;90;111
001102;92002;01;03;PROPUESTAS;NÚMERO;45;124
001102;92002;02;01;ESTUDIOS Y ANÁLISIS;NÚMERO;60;134
001102;92002;02;02;ELABORACIÓN DE PROPUESTAS;NÚMERO;20;60
001102;92009;01;01;PLEITOS;NÚMERO;8300;7466
001102;92009;01;02;INFORMES;NÚMERO;2100;2006
001102;92009;01;03;EXPEDIENTES DE BASTANTEOS;NÚMERO;700;629
001102;92012;01;01;EXPEDIENTES DE PROVISIÓN DE PUESTOS DE TRABAJO;NÚMERO;150;215
001102;92012;01;02;RELACIONES DE PUESTOS DE TRABAJO ELABORADAS;NÚMERO;15;22
001102;92012;01;03;EXPEDIENTES DE CONCESIÓN DE FLEXIBILIDAD HORARIA;NÚMERO;65;59
001102;92012;02;01;EXPEDIENTES DE CONTRATACIÓN;NÚMERO/AÑO;3;2
001102;92012;02;02;TRAMITACIÓN DE CONTRATOS MENORES;NÚMERO/AÑO;60;80
001102;92012;02;03;EXPEDIENTES DE DEVOLUCIÓN DE GARANTÍAS DEFINITIVAS;NÚMERO/AÑO;8;4
001102;92012;03;01;EXPEDIENTES DE CONTRATACIÓN QUE INCLUYAN CLÁUSULAS SOCIALES;NÚMERO/AÑO;2;2
001102;92012;04;01;NÚMERO DE EMPRESAS ADJUDICATARIAS DE LAS QUE SE OBTIENE INFORMACIÓN;NÚMERO/AÑO;3;3
001102;92012;05;01;ELABORACIÓN DEL PRESUPUESTO;NÚMERO/AÑO;1;1
001102;92012;05;02;INFORMES DE SEGUIMIENTO DE LA EJECUCIÓN DEL PRESUPUESTO;NÚMERO/AÑO;200;200
001102;92012;05;03;MODIFICACIONES DE CRÉDITO;NÚMERO/AÑO;15;15
001102;92012;05;04;DOCUMENTOS CONTABLES;NÚMERO/AÑO;360;416
001102;92012;05;05;EXPEDIENTES DE GASTO POR ANTICIPO DE CAJA FIJA;NÚMERO/AÑO;200;184
001102;92012;05;06;DOCUMENTOS DE INGRESO DEL REINTEGRO DE SUBVENCIONES Y DE PRECIOS PÚBLICOS;NÚMERO/AÑO;2;4
001102;92012;05;07;OTROS EXPEDIENTES DE GESTIÓN PRESUPUESTARIA;NÚMERO/AÑO;16;21
001102;92012;06;01;MANTENIMIENTO DE LOS EDIFICIOS ADSCRITOS;M2;13125;13125
001102;92012;06;02;PLIEGOS DE PRESCRIPCIONES TÉCNICAS DE CONTRATOS ELABORADOS;NÚMERO;2;3
001102;92012;06;03;CONTRATOS GESTIONADOS A TRAVÉS DEL SISTEMA DE COMPRAS CENTRALIZADAS;NÚMERO;20;10
001102;92012;06;04;MONTAJE DE ACTOS PÚBLICOS;NÚMERO;450;260
001102;92012;06;05;ACTUACIONES DE RÉGIMEN INTERIOR;NÚMERO;995;2065
001102;92012;07;01;INFORMES JURÍDICOS;NÚMERO;40;36
001102;92012;07;02;EXPEDIENTES DE SUBVENCIONES Y CONVENIOS;NÚMERO;30;27
001102;92012;07;03;ACUERDOS DE JUNTA DE GOBIERNO Y DE PLENO;NÚMERO;50;58
001102;92012;07;04;INSCRIPCIONES LIBRO DE RESOLUCIONES;NÚMERO;100;142
001102;92012;07;05;GESTIÓN DE LA OFICINA DE REGISTRO DE ACREDITACIÓN DE FIRMA ELECTRÓNICA;NÚMERO;50;162
001102;92012;07;06;SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA;NÚMERO;20;29
001102;92012;08;01;ANOTACIONES REGISTRO;NÚMERO/AÑO;18000;7850
001102;92206;01;01;Reuniones y sesiones en grupos de trabajo;NÚMERO;300;450
001102;92210;01;01;Actos de naturaleza oficial;NÚMERO;300;464
001102;92210;01;02;Atenciones protocolarias y representativas;NÚMERO;400;153
001102;92210;02;01; Peticiones del Defensor del Pueblo tramitadas;NÚMERO;250;222
001102;92210;02;02;Solicitudes de dictamen a la Comisión Jurídica Asesora de la Comunidad de Madrid;NÚMERO;130;187
001103;92222;01;01;Expedientes denuncia;NÚMERO/AÑO;100;104
001110;91200;01;01;ASUNTOS TRAMITADOS COMISIÓN PREPARATORIA;NÚMERO/AÑO;1300;1419
001110;91200;01;02;ACTAS COMISIÓN PREPARATORIA;NÚMERO/AÑO;45;47
001110;91200;01;03;ASUNTOS TRAMITADOS POR LA JUNTA DE GOBIERNO;NÚMERO/AÑO;1400;1494
001110;91200;01;04;ACTAS DE LAS SESIONES;NÚMERO/AÑO;60;54
001110;91200;01;05;COMUNICACIONES A SECRETARÍAS GENERALES TÉCNICAS;NÚMERO/AÑO;700;1100
001110;91200;01;06;COMUNICACIONES A LA PRESIDENCIA DEL PLENO;NÚMERO/AÑO;200;94
001110;91200;01;07;COMUNICACIONES A DISTRITOS;NÚMERO/AÑO;150;354
001110;91200;01;08;PROYECTOS NORMATIVOS TRAMITADOS;NÚMERO/AÑO;90;62
001110;91200;01;09;ALEGACIONES A PROYECTOS NORMATIVOS;NÚMERO/AÑO;400;1722
001110;91200;01;10;PUBLICACIONES EN BOLETINES OFICIALES;NÚMERO/AÑO;300;236
001110;91200;01;11;CONTENIDOS PUBLICADOS EN LA WEB MUNICIPAL;NÚMERO/AÑO;220;141
001110;91200;02;01;CONVENIOS INCORPORADOS AL REGISTRO;NÚMERO/AÑO;600;667
001110;91200;03;01;EDICTOS PUBLICADOS DE LOS SERVICIOS MUNICIPALES Y SUS ORGANISMOS PÚBLICOS;NÚMERO/AÑO;1200;1587
001110;91200;03;02;TIEMPO MEDIO DE TRAMITACIÓN DE LAS PUBLICACIONES DE EDICTOS MUNICIPALES;DÍAS;1;1
001110;91200;03;03;EDICTOS DE OTRAS ADMINISTRACIONES E INSTITUCIONES PÚBLICAS;NÚMERO/AÑO;1000;582
001110;91200;03;04;TIEMPO MEDIO DE TRAMITACIÓN DE LAS PUBLICACIONES DE EDICTOS DE OTRAS ENTIDADES;DÍAS;1;1
001110;91200;03;05;ANUNCIOS DE NOTIFICACIONES PUBLICADAS EN EL TABLÓN EDICTAL ÚNICO DEL BOE.;NÚMERO/AÑO;5000;3975
