CeGe;Prog. Finan.;Objetivo;Actividad por Objetivo;Descripción Actividades
001100;91216;01;A;Asegurar la buena marcha de los trabajos del Pleno
001100;91216;01;B;Asistir al Alcalde en la preparación del borrador del orden del día delas sesiones del Pleno.
001100;91216;01;C;Presidir la Junta de Portavoces del Pleno
001100;91216;01;D;Inadmitir y modificar la calificación de las iniciativas en lossupuestos previstos en el Reglamento
001100;91216;01;E;Cumplir y hacer cumplir el Reglamento Orgánico del Pleno,interpretándolo en caso de duda y supliéndolo en
001100;91216;02;A;Erección de memorial en espacio público en reconocimiento y homenaje dela corporación a las víctimas que sufrieron el ho
001100;91230;01;A;Elaboración y remisión de convocatorias y de órdenes del día
001100;91230;01;B;Tratamiento, custodia y exposición de expedientes sometidos a sesión.
001100;91230;01;C;Asistencia al Secretario General del Pleno y  de las Comisiones duranteel desarrollo de las sesiones.
001100;91230;01;D;Grabación y transcripción de las intervenciones efectuadasdurante las sesiones.
001100;91230;01;E;Elaboración y distribución de dictámenes, diligencias de votación,diarios de sesiones y actas
001100;91230;01;F;Retransmisión de las sesiones de las Comisiones del Pleno
001100;91230;02;A;Recopilación y depuración de la información susceptible de ser ofrecidaa través de la página Web del Ayuntamiento
001100;91230;02;B;Gestión y mantenimiento de la información mediante las herramientasinformáticas específicas de unidad gestora Web
001100;91230;02;C;Generación y publicación de edictos referidos a las sesiones del Pleno yComisiones
001100;91230;03;A;Anotaciones de nuevos asientos en el Registro del Pleno, RegistrodeDistinciones Honoríficas, Registro de causas de posi
001100;91230;03;B;Digitalización y asociación de documentos correspondientes acadaasiento.
001100;91230;04;A;Coordinación en la elaboración del presupuesto entre las distintasunidades de la sección
001100;91230;04;B;Tramitación de los expedientes administrativos para el suministro dematerial de oficina e informático a través del proce
001100;91230;04;C;Tramitación de contratos administrativos.
001100;91230;04;D;Gestión y realización de expedientes de gasto.
001100;91230;04;E;Gestión del personal adscrito a la Presidencia del Pleno (propuestas ymodificaciones de RPT y cobertura vacantes, IT y s
001100;91230;05;A;Supervisión y seguimiento de la ejecución  de los contratos de mantenimiento integral y de limpieza del edificio sede de
001100;91230;05;B;Supervisión y seguimiento de la ejecución  de los contratos de mantenimiento de aparatos elevadores e instalaciones elec
001100;91230;05;C;Supervisión y seguimiento de contratos de instalación y mantenimiento de equipos desfibriladores
001100;91230;05;D;Supervisión y seguimiento del contrato de restauración para las sesiones del Pleno
001100;91240;01;A;Tramitación de los expedientes administrativos para el suministro dematerial de oficina e informático a través del proce
001100;91240;01;B;Gestión y realización de expedientes de gasto.
001100;91240;01;C;Poner a disposición de los distintos Grupos Políticos la dotacióneconómica establecida en el Reglamento Orgánico del Ple
001100;91240;02;A;Supervisión y seguimiento de la ejecución  de los contratos de mantenimiento integral y de limpieza del edificio sede de
001100;91240;02;B;Supervisión y seguimiento de la ejecución  de los contratos demantenimiento de aparatos elevadores e instalaciones elect
001100;91240;02;C;Supervisión y seguimiento de contratos de instalación y mantenimiento deequipos desfibriladores.
001101;91201;01;A;Impulsar la política municipal
001101;91201;01;B;Dirigir la acción de los demás órganos ejecutivos del Ayuntamiento
001101;91201;01;C;Ejercer la superior dirección de la Administración Municipal
001101;91201;01;D;Responder ante el Pleno de la gestión política de la Alcaldía
001102;49102;01;A;Fomentar la evolución de la cultura organizativa de transformacióndigital
001102;49102;01;B;Fomentar la digitalización de procedimientos de alto impacto basada enla experiencia del ciudadano.
001102;49102;01;C;Desarrollar programas de formación y capacitación en transformacióninterna.
001102;49102;01;D;Desarrollar proyectos de comunicación de estrategias de transformación
001102;49102;02;A;Explotar los datos para la planificación de la acción municipal
001102;49102;02;B;Comunicación de las iniciativas desarrolladas,  como mejores prácticas
001102;49102;02;C;Propiciar la interlocución con el sector tecnológico
001102;49102;02;D;Innovar servicios públicos para Madrid con proyección internacional
001102;91202;01;A;Proporcionar al Alcalde la información política y técnica que resulte necesaria para el ejercicio de sus funciones
001102;91202;01;B;Asesorar al Alcalde en aquellos asuntos y materias que requiera
001102;91202;01;C;Facilitar al Alcalde la coordinación de la acción del Gobierno municipal mediante la interlocución con los gabinetes de
001102;91202;01;D;Coordinar la agenda del Alcalde
001102;91202;01;E;Tramitar, gestionar y contestar a las comunicaciones, peticiones o escritos dirigidos al Alcalde
001102;92002;01;A;Realización de estudios en materias relacionadas con la organización municipal y los procesos de reorganización administ
001102;92002;01;B;Realización de estudios de las estructuras organizativas de la administración municipal con el objetivo de su racionaliz
001102;92002;01;C;Emisión de informes en materia organizativa y competencial
001102;92002;01;D;Elaboración de propuestas de disposiciones de carácter organizativo
001102;92002;02;A;Elaboración de propuestas de mejora de la normativa municipal
001102;92002;02;B;Elaboración de propuestas de simplificación administrativa y racionalización de procedimientos
001102;92002;02;C;Realización de estudios y análisis jurídicos de los proyectos de disposiciones y acuerdos de competencias
001102;92002;02;D;Realización de estudios y análisis jurídicos en materias relativas al gobierno y la administración local
001102;92002;02;E;Seguimiento de las disposiciones normativas del Estado y de la Comunidad de Madrid que incidan en el régimen jurídico de
001102;92002;02;F;Seguimiento de los procesos de transferencia de competencias que puedan desarrollarse por el Estado o la Comunidad de Ma
001102;92009;01;A;Representación y defensa en juicio del Ayuntamiento y sus OrganismosPúblicos ante cualesquiera jurisdicciones y órdenes
001102;92009;01;B;Representación y defensa en juicio de los concejales, autoridades,funcionarios y empleados por hechos relacionados con e
001102;92009;01;C;"Emisión de informes preceptivos a los proyectos de disposiciones decarácter general y estatutos; convenios;pliegos contr"
001102;92009;01;D;Emisión de informes facultativos sobre cuestiones jurídicas
001102;92009;01;E;Bastanteo de los poderes para actuar que presenten los particulares anteel Ayuntamiento o sus Organismos Públicos
001102;92009;01;F;"Emisión de informe a los acuerdos sobre ejercicio de accionesjudiciales; a las propuestas de resolución en los procedimi"
001102;92012;01;A;Organización interna y logística de los recursos humanos de la Alcaldía y Coordinación General de la Alcaldía
001102;92012;01;B;Elaboración de propuestas de relación de puestos de trabajo
001102;92012;01;C;Tramitación de los expedientes para la cobertura de vacantes, (concursos, libres designaciones, comisiones de servicio e
001102;92012;01;D;Participación en comisiones de valoración de concursos de méritos y tribunales de oposición
001102;92012;01;E;Gestión del complemento de productividad y de los planes especiales de productividad en el ámbito de la Alcaldía y la Co
001102;92012;01;F;Tramitación de expedientes de concesión de flexibilización horaria por tener a cargo un hijo menor de 13 años o persona
001102;92012;01;G;Control del cumplimiento del horario de trabajo
001102;92012;01;H;Gestión de la tarjeta corporativa
001102;92012;01;I;Organización de los servicios de traslado de documentación, de la mesa de reparto del correo de Cibeles y del servicio d
001102;92012;01;J;Coordinación y seguimiento del Plan de Formación en el ámbito de laAlcaldía y Coordinación General de la Alcaldía
001102;92012;02;A;Análisis, elaboración, tramitación y seguimiento de los expedientes de contratación gestionados por la Coordinación Gene
001102;92012;02;B;Asistencia a las Mesas de Contratación de los contratos gestionados porla Coordinación General de la Alcaldía
001102;92012;02;C;Asesoramiento y coordinación a los distintos órganos o unidades en laadecuada elaboración de las propuestas de contratac
001102;92012;02;D;Impulso de los trámites, competencia de otros órganos o unidades, con elfin de agilizar y reducir el tiempo de tramitaci
001102;92012;02;E;Tramitación y revisión de los expedientes de contratos menores yseguimiento de los mismos
001102;92012;02;F;Tramitación de la devolución de las garantias definitivas
001102;92012;03;A;Redacción de los Pliegos de Claúsulas Administrativas Particulares
001102;92012;04;A;Elaboración de pliegos de contratación incluyendo la obligación de los adjudicatarios de suministrar información sobre n
001102;92012;05;A;Elaboración de la propuesta anual de presupuestos de la Alcaldía y de la Coordinación General de la Alcaldía
001102;92012;05;B;Seguimiento y evaluación de la ejecución del Presupuesto de gastos e ingresos mediante la elaboración de informes de est
001102;92012;05;C;Tramitación de las modificaciones presupuestarias, creación deaplicaciones presupuestarias y altas de proyectos de inver
001102;92012;05;D;Elaboración y tramitación de documentos contables que se requieran por la Coordinación General de la Alcaldía.
001102;92012;05;E;Impulso y seguimiento de los trámites, competencia de otros órganos o unidades, con el fin de agilizar el pago de las fa
001102;92012;05;F;Gestión de los anticipos de caja fija, pago directo a terceros, depósitos a personal municipal y las correspondientes re
001102;92012;05;G;Elaboración de los documentos de ingreso de expedientes de reintegro de subvenciones y de la liquidación de precios públ
001102;92012;05;H;Tramitación de otros expedientes de gestión presupuestaria (aportaciones a empresas y organismos públicos, reconocimient
001102;92012;05;I;Seguimiento y control de los expedientes de subvenciones hasta la fase de justificación y posibles reintegros
001102;92012;06;A;Promoción de los expedientes de contratación de bienes y servicios en materia de régimen interior (seguridad, limpieza,
001102;92012;06;B;Tramitación de los expedientes de gastos de comunidad de los edificios adscritos
001102;92012;06;C;Verificación técnica de los edificios adcritos a la Coordinación General de la Alcaldía
001102;92012;06;D;Propuestas de adquisición de suministros y de realización de servicios de carácter técnico
001102;92012;06;E;Tramitación de certificaciones y facturas de gasto correspondientes a contratos de obras, servicios y suministros
001102;92012;06;F;Tramitación de expedientes de contratación de gestión centralizada
001102;92012;06;G;Planificación y coordinación de los servicios del taller de montaje de actos públicos
001102;92012;06;H;Mediciones, traslados y estudios de proyectos de ocupación de espacios
001102;92012;06;I;Tramitación de peticiones de recursos informáticos y de telecomunicaciones, y reservas de salas de reuniones en el edifi
001102;92012;07;A;Elaboración de informes de carácter jurídico-administrativo en las materias compentecia de la Coordinación General de la
001102;92012;07;B;Elaboración de informes y observaciones a los proyectos de disposiciones generales de ámbito municipal
001102;92012;07;C;Tramitación de expedientes de convenios y subvenciones
001102;92012;07;D;Coordinación de los expedientes que proceda elevar a la Junta de Gobierno y al Pleno
001102;92012;07;E;Gestión de las inscripciones de las resoluciones en el ámbito de la Coordinación General de la Alcaldía en los libros co
001102;92012;07;F;Tramitación de la inscripción en el Registro de Convenios
001102;92012;07;G;Tramitación de las publicaciones en el Tablón de Edictos Electrónico y en el Tablón Edictal Único del BOE
001102;92012;07;H;Tramitación de la publicación en boletines oficiales de las resoluciones en el ámbito de la Coordinación General de la A
001102;92012;07;I;Gestión de la Oficina de acreditación de firma electrónica de la Coordinación General de la Alcaldía
001102;92012;07;J;Interlocución en materia de protección de datos de carácter personal
001102;92012;07;K;Interlocución con la Asesoría Jurídica para la solicitud de informes y dictámenes, así como recepción de notificaciones
001102;92012;07;L;Tramitación de la información periódica que se facilita al Pleno
001102;92012;07;M;Tramitación de los expedientes de Acceso a la Información Pública, atender a las consultas efectuadas que no dan lugar a
001102;92012;08;A;Gestión de la oficina de registro de la Coordinación General de la Alcaldía
001102;92012;08;B;Atender las solicitudes de información que plantean los ciudadanos sobre las distintas competencias municipales a través
001102;92012;08;C;Participación en la racionalización y mejora del sistema de recepción de solicitudes presentadas así como el resto de do
001102;92012;08;D;Recepción y gestión de las sugerencias y reclamaciones que se presenten
