CeGe;Prog. Finan.;Objetivo;Hipertexto Objetivo;Memoria Objetivo
001002;91100;01;Digitalización de actas de las sesiones plenarias;Uno de los objetivos previstos a desarrollar durante el ejercicio 2012 fue la digitalización de las actas de las sesiones plenarias, que no pudo realizarse con motivo de la priorización de las necesidades de la Sección 002 con motivo de la reorganización presupuestaria efectuada durante el ejercicio.
001002;91100;02;Grabación digital de la actividad de las sesiones de las Comisiones del Pleno;"Este objetivo responde a  la necesidad de contar con los medios necesarios para la grabación de imagen y sonido de la Comisiones del Pleno, lo que facilita y permite la transcripción posterior de las actas con un grado de exactitud elevado. Dichas sesiones tienen lugar en el Salón de Comisiones ubicado en el edificio Casa de Cisneros, Plaza de la Villa nº 4.  Respecto a la previsión del indicador, fijado en  120 días, señalar que durante el ejercicio 2012 se han grabado 105 sesiones en formato audio digital, con el siguiente desglose: 7 sesiones constitutivas; 89 sesiones ordinarias; 1 sesión extraordinaria; y, 8 sesiones ext raordinarias y urgentes.  Dada la extraordinaria acumulación de Comisiones durante los meses de noviembre y diciembre, al coincidir las sesiones ordinarias, las e xtraordinarias de presupuestos y las correspondientes a la Comisión de Investigación, en total 14 sesiones, hubieron de celebrarse en el anterior Salón de Comisiones, situado en el edificio de los Grupos Políticos Municipales de la calle Mayor 71, que no cuenta con equipos de grabación de imagen. En consecuencia, de estas 14 sesiones se grabó exclusivamente el audio, en formato digital, en consonancia con las posibilidades que ofrecía el lugar de su celebración.  De las 91 sesiones restantes, celebradas en el nuevo Salón de Comisiones de la Plaza de la Villa 4, 90 se han grabado ya en formato video, conservándose de ellas, consecuentemente, tanto la imagen como el sonido.  En resumen, el 100 % de las Comisiones del Pleno celebradas durante el año 2012 (105 sesiones) se han grabado en formato audio digital.  El 98,9 % de las Comisiones del Pleno celebradas durante el año 2012 en el nuevo Salón de Comisiones (90 sesiones) se han grabado, además, en formato video"
001002;91100;03;Mantenimiento y ampliación de la información en la web municipal;Durante el ejercicio 2012, se ha continuado con el proceso de incorporación y actualización de la información referida a la actividad del Pleno y sus Comisiones, así como a los Concejales de la Corporación Municipal.  Esta actividad comprende la incorporación, por cada sesión de Pleno y Comisiones, de determinados documentos en formato pdf (convocatoria y orden del día, resumen de acuerdos, Diario de Sesiones, edictos, acuerdos) y creación de enlaces a las publicaciones en BOAM de los acuerdos municipales.  Asimismo, se incluyen otros documentos como las resoluciones adoptadas por el Presidente del Pleno, la previsión mensual de sesiones a celebrar, los textos normativos aprobados por el Pleno pendiente de publicación en BOCAM, otros contenidos como los datos biográficos de los Concejales y de miembros no electos de la Junta de Gobierno, que son constantemente actualizados en función de la información facilitada por ellos mismos, así como los datos referidos a la composición de las Comisiones.  Como innovación, se ha incorporado un nuevo canal que permite acceder a las retransmisiones de las sesiones del Pleno celebradas en el Salón del Palacio de Cibeles, tanto en directo, como a las últimas doce celebradas.  Las modificaciones en la composición de la Corporación municipal, producidas por el cese e incorporación de Concejales, así como las reorganizaciones y cambios de miembros integrantes de las Comisiones del Pleno, han supuesto la celebración de un número superior de sesiones al inicialmente previsto, lo que ha originado una mayor actividad, no solo en cuanto a las sesiones realizadas y los documentos anexos a las mismas, inicialmente estimados en 2.800, y que finalmente han ascendido a 3.341, sino también en las actualizaciones (altas, bajas y modificaciones), mediante la plataforma vigente que da soporte a todos los contenidos que se publican en la web municipal, y que se estimaron inicialmente en 500 y han sido 1.285.
001002;91100;04;Análisis e implantación del Registro de Distinciones Honoríficas;Para el cumplimiento de este objetivo se ha contado con la aplicación informática desarrollada por el IAM para informatizar el Registro de Distinciones Honoríficas, regulado en el reglamento de 24 de marzo de 1961.  En dicha aplicación se incorporan, no solo aquellas distinciones de inscripción obligatoria de acuerdo con el mencionado Reglamento, sino aquellas otras de inscripción potestativa, a efectos de consulta y por su interés histórico, que el Pleno del Ayuntamiento hubiera concedido, como es el caso de las distinciones no reguladas en el Reglamento de Distinciones Honoríficas o aquellas otras anteriores a su aprobación (Cronistas de la Villa, Llaves de Madrid, Medalla al Mérito Social,...).  También se han incluido en la base de datos los documentos relativos a la normativa reguladora de cada tipo de distinción honorífica y los documentos acreditativos de las distinciones otorgadas, así como otros contenidos de interés como fichas biográficas.  En el primer trimestre de 2012, el IAM puso a disposición de la Secretaría General del Pleno la aplicación informática, realizándose las pruebas y modificaciones necesarias, y comenzando con la grabación de los distintos tipos de distinciones y normativa reguladora de las mismas, incluyendo los datos referentes al órgano proponente, órgano de concesión, carácter vitalicio o no de la distinción, limitaciones cuantitativas de concesión y se anexionaron los archivos digitales en formato pdf que justifican su régimen jurídico. Para nutrir adecuadamente la base de datos, se ha realizado una búsqueda exhaustiva de la documentación que debía incluirse, incidiendo principalmente en la consulta de los BOAM que recogían los acuerdos de otorgamiento de las distinciones, remontándose hasta el año 1923, junto con otros soportes y medios de información que permitían completar los datos de aquellas distinciones de las que, por su antigüedad, no se tenía constancia.  Esta documentación fue digitalizada y guardada en formato pdf para su incorporación posterior a la aplicación.  La grabación de las distinciones finalizó con un total de 1.404 distinciones recogidas, 10 de cuales han sido concedidas durante el año 2012. De todas ellas, 558 son de inscripción obligatoria, según el Reglamento de Distinciones Honoríficas, y 846, de inscripción potestativa.  El numero real de distinciones concedidas hasta el año 2011 es de 1.394 (206 menos de las previstas), lo cual se ha puesto de manifiesto como consecuencia de la labor de estudio y comprobación de la documentación existente, considerándose cumplido el objetivo, en lo que respecta a este indicador al haberse incorporado a la aplicación la totalidad de las distinciones existentes hasta la finalización del año 2011.
001002;91101;01;Poner a disposición de los distintos grupos políticos que componen la Corporación la dotación económica trimestral establecida en el Reglamento Orgánico del Pleno.;En cumplimiento de lo establecido en la Disposición Adicional Segunda de las Bases de Ejecución del Presupuesto para 2012, se han tramitado las transferencias directas a favor de los cuatro Grupos Políticos Municipales, consistentes en un componente fijo anual para cada uno y otro variable en función del número de Concejales que integra cada uno de ellos.  A tal fin, se han tramitado un total de 16 expedientes de gasto, ya que tratándose de una dotación trimestral, corresponden cuatro transferencias directas a lo largo del año a cada uno de los Grupos Políticos Municipales.  También con carácter trimestral se han realizado los correspondientes informes de seguimiento de la ejecución presupuestaria del programa 911.01  De lo que se concluye, que los indicadores del presente objetivo han sido cumplidos durante el año 2012.  ,, Para la consecución del presente objetivo, se ha contado con los medios materiales y financieros  adecuados.
001002;92010;01;Tramitación administrativa de los expedientes de contratación;"A fin de garantizar el óptimo funcionamiento de las distintas unidades administrativas que constituyen la Sección, durante el año 2012 se han tramitado un total de 56 contratos.  En concreto, se han tramitado tres contratos por procedimiento abierto (prórroga de los contratos de mantenimiento integral y de limpieza de la Casa de Cisneros, sita en la Plaza de la Villa nº 4; y de ascensores); tres por procedimiento negociado (servicio de asistencia técnica para los sistemas de audio y video, servicio de mantenimiento de elementos de seguridad y servicio de restauración para las sesiones plenarias del Ayuntamiento de Madrid); y finalmente y entre los diversos contratos menores de un total de 50, cabe destacar los siguientes: mantenimiento de máquinas de estenotipia, mantenimiento de sistemas de seguridad, reparación de equipos digitales, implantación de Planes de Autoprotección, depósito y conservación de tapices, reparación sistema audiovisual Salón de Actos C/ Mayor nº 71 y suministro e instalación de láminas solares en ventanas del edificio Casa de Cisneros, Plaza de la Villa nº 4.  Para la consecución del presente objetivo, se ha contado con los medios materiales y financieros  adecuados."
001002;92010;02;Coordinar una adecuada ejecución de los recursos económicos de la Sección;La Oficina de la Presidencia del Pleno ha realizado las tareas de coordinación, planificación y ejecución del presupuesto de la Sección 002 'Presidencia del Pleno', habiendo tramitado 1.237 documentos contables incluidos los propios del capítulo 1 para un presupuesto definitivo de 15.209.409 euros, así como 99 documentos de anticipos de caja fija.  El incremento de los documentos contables se debe esencialmente al aumento de los contratos tramitados que han sido superiores a los previstos, de acuerdo con lo que figura en el objetivo 1, lo que implica la elaboración de nuevos documentos contables en todas sus fases. También resaltar que el incremento del tipo impositivo del IVA ha conllevado la realización de nuevos documentos contables.  En cuanto a los documentos de anticipo de caja fija, los mismos corres ponden a título de ejemplo, a la adquisición mensual de prensa para Grupos Políticos, Presidencia y Secretaría General del Pleno, a la renovación de permisos de conducir de los conductores adscritos al servicio del Pleno en su conjunto, etc.
001002;92010;03;Atender las necesidades de las unidades administrativas de la Sección, mediante la provisión de los servicios y medios materiales necesarios, así como la gestión de los recursos humanos;"En este indicador se reflejan los gastos imputables al capítulo 2 referentes a la adquisición de material de oficina y consumibles informáticos, es decir los expedientes de compras que se tramitan a través del sistema de adquisición centralizada.  En lo referente a la gestión de recursos humanos, destacar que se han tramitado 13 expedientes de convocatoria para la provisión de puestos de trabajo; 9 de ellos por el sistema de libre designación correspondiendo 2 a la Secretaría General del Pleno, 2 de la Presidencia y 5 de la Oficina de la Presidencia del Pleno. Los cuatro expedientes restantes se han tramitado por concurso de méritos, siendo 2 de la Secretaría General del Pleno y los restantes de la Oficina de la Presidencia.  También se han tramitado18 expedientes para el nombramiento del personal eventual de apoyo a los grupos políticos y 20 ceses, así como 8 expedientes de modificación de relación de puestos de trabajo afectando a 38 puestos de trabajo; 4 de estos expedientes son consecuencia de la reorganización del colectivo de conductores y los 4 restantes han afectado a los Grupos Municipales.  Asimismo, se ha participado en 2 mesas de negociación, una para la reorganización de conductores y la otra de reorganización de ordenanzas.  Respecto a las actuaciones realizadas en materia de salud laboral y prevención de riesgos laborales ascienden a 18, desglosándose: 11 por la asistencia a la Comisión permanente del Comité de Seguridad y Salud (reuniones mensuales exceptuando agosto), 4 por asistencia a reuniones del Comité de Seguridad y Salud (una al trimestre), la realización de 2 simulacros (uno en cada edificio), y una actuación puntual en materia de salud laboral a petición del Servicio de prevención, consistente en la reparación del fancoil e instalación de termostato para la regulación de la temperatura en el edificio sito en la C/ Mayor, 71, planta 5º, zona de oficinas del Grupo Municipal de UPyD."
001011;92701;01;MANTENER LAS RELACIONES CON LOS MEDIOS DE COMUNICACIÓN;La acción administrativa debe ser trasladada a la sociedad para que pueda ser fruto de debate y opinión y se pueda enriquecer así con las diversas opiniones de los interlocutores sociales. A éste respecto, hay que destacar que durante el año 2012 se han elaborado 1.925 notas de prensa -1.776 correspondientes al equipo de gobierno y el resto a los grupos políticos municipales de la oposición-, y se han distribuido a los medios, más de 140.000 notas.  Los medios de comunicación son un instrumento esencial para la difusión de la acción pública, por lo que una administración moderna y abierta debe instrumentalizar los canales necesarios para optimizar la interrelación con ellos. En este sentido, se han organizado 726 ruedas de prensa y actos de presentación de actuaciones concretas, y se han remitido 12.915 noticias a las distintas emisoras de radio.
001011;92701;02;REFORZAR LA COMUNICACIÓN INTERNA;Como en toda organización, los órganos con responsabilidad en la toma de decisiones deben conocer tanto los proyectos que se están acometiendo en nuestra ciudad, como la percepción y repercusión que la acción municipal tiene sobre los administrados. Para garantizar esta información se han editado boletines de prensa diaria en los que se recogen las noticias de nuestra ciudad aparecidas en prensa nacional, autonómica y local en  formato digital editado diariamente en la Intranet del Ayuntamiento de Madrid.  Mantener actualizado el archivo municipal es imprescindible porque permite, por una parte, conocer los antecedentes sobre hechos similares a los que se pretende acometer y poder, por tanto, evaluar la posible incidencia de los futuros proyectos e iniciativas que se vayan a realizar. Y, por otra parte, documenta la historia de nuestra ciudad y sirve a la prensa y a los historiadores como documento fiel a la hora de realizar sus investigaciones. Durante el año 2012 se han producido 15.450 grabaciones de audio, vídeo y digitalizaciones de noticias, y se han colgado en la página Web alrededor de 3.500 fotografías.
