Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;100;91216;61900;2023/001553;2023/001553;EDIFICIO PLAZA DE LA VILLA, 4, CASA DE CISNEROS. RESTAURACIÓN DE LÁMPARAS;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;12000;12000;989;0;11011;11011;11011;0;11011;
;;001;100;91230;62500;2023/000102;2023/000102;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;3600;3600;67,83;0;3532,17;3532,17;3532,17;0;0;
;;001;100;91230;62599;2023/000102;2023/000102;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;5000;5000;2102,29;0;2897,71;2897,71;2897,71;0;2897,71;
;;001;100;91230;62302;2023/000103;2023/000103;EQUIPOS DE COMUNICACIONES COMISIONES Y TRANSCRIPCIONES SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;3000;3000;3000;0;0;0;0;0;0;
;;001;100;91230;63600;2023/000103;2023/000103;EQUIPOS DE COMUNICACIONES COMISIONES Y TRANSCRIPCIONES SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;19000;19000;994,81;0;18005,19;18005,19;18005,16;0;18005,16;
;;001;100;91230;62500;2023/004051;2023/004051;PRÓRROGA CRÉDITO 001100/91230/62500;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;8000;-8000;0;0;0;0;0;0;0;0;
;;001;100;91240;62901;2023/000004;2023/000004;SERVICIOS GRUPOS POLÍTICOS. SEÑALIZACIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;2500;2500;100,57;0;2399,43;2399,43;2399,43;0;2399,43;
;;001;100;91240;62500;2023/000104;2023/000104;EQUIPAMIENTO SERVICIOS DE LOS  GRUPOS POLITICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;7500;7500;2323,22;0;5176,78;5176,78;5176,78;0;467,22;
;;001;100;91240;62599;2023/000104;2023/000104;EQUIPAMIENTO SERVICIOS DE LOS  GRUPOS POLITICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;5000;5000;4808,88;0;191,12;191,12;191,12;0;191,12;
;;001;100;91240;63200;2023/001331;2023/001331;EDIFICIO CALLE MAYOR, 71. OBRAS DE RENOVACIÓN DE LUMINARIAS DE EMERGENCIA;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;17425;17425;390,98;0;17034,02;17034,02;17034,02;0;17034,02;
