Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;001;100;91230;62302;2023/000103;2023/000103;EQUIPOS DE COMUNICACIONES COMISIONES Y TRANSCRIPCIONES SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;20000,00;20000,00;20000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;62500;2023/000102;2023/000102;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;8000,00;8000,00;8000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;62500;2023/004051;2023/004051;PRORRÓGA CRÉDITO 001100/91230/62500;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;8000,00;-8000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;62599;2023/000102;2023/000102;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;5000,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91230;63600;2023/000103;2023/000103;EQUIPOS DE COMUNICACIONES COMISIONES Y TRANSCRIPCIONES SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;2000,00;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91240;62500;2023/000104;2023/000104;EQUIPAMIENTO SERVICIOS DE LOS  GRUPOS POLITICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;7500,00;7500,00;7500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91240;62500;2023/004054;2023/004054;PRORRÓGA CRÉDITO 001100/91240/62500;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;-10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91240;62599;2023/000104;2023/000104;EQUIPAMIENTO SERVICIOS DE LOS  GRUPOS POLITICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;5000,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91240;62599;2023/004055;2023/004055;PRORRÓGA CRÉDITO 001100/91240/62599;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4490,00;-4490,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;100;91240;62901;2023/000004;2023/000004;SERVICIOS GRUPOS POLÍTICOS. SEÑALIZACIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;2500,00;2500,00;2500,00;0,00;0,00;0,00;0,00;0,00;0,00
