CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado
001100;91216;01;01;REUNIONES;NÚMERO/AÑO;250
001100;91216;01;02;BORRADORES ORDEN DEL DÍA ELABORADOS;NÚMERO/AÑO;35
001100;91216;01;03;JUNTAS DE PORTAVOCES;NÚMERO/AÑO;15
001100;91216;02;01;MEMORIALES ESCULTÓRICO-ARQUITECTÓNICOS;NÚMERO/AÑO;1
001100;91230;01;01;SESIONES DEL PLENO;NÚMERO/AÑO;24
001100;91230;01;02;SESIONES DE LAS COMISIONES DEL PLENO;NÚMERO/AÑO;124
001100;91230;01;03;RETRANSMISIÓN SOBRE SESIONES COMISIONES PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;01;04;RETRANSMISIÓN SOBRE SESIONES COMISIONES NO PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;01;05;RESOLUCIONES RELATIVAS AL PLENO Y SUS COMISIONES;NÚMERO/AÑO;300
001100;91230;01;06;RETRANSMISIÓN SOBRE SESIONES DEL PLENO EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;02;01;ACTUALIZACIONES DE LA INFORMACIÓN;NÚMERO/AÑO;2100
001100;91230;02;02;DOCUMENTOS ACCESIBLES A TRAVÉS DE LA WEB;NÚMERO/AÑO;7000
001100;91230;03;07;ANOTACIONES EN EL REGISTRO DE CAUSAS DE POSIBLE INCOMPATIBILIDAD Y DE ACTIVIDADES DE LOS CONCEJALES;NÚMERO/AÑO;60
001100;91230;03;06;ANOTACIONES EN EL REGISTRO DE BIENES PATRIMONIALES DE LOS CONCEJALES;NÚMERO/AÑO;65
001100;91230;03;05;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;77
001100;91230;03;04;ANOTACIONES DE DISTINCIONES CONCEDIDAS EN EL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;11
001100;91230;03;03;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DEL PLENO;NÚMERO/AÑO;3000
001100;91230;03;02;ASIENTOS DE SALIDA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;100
001100;91230;03;01;ASIENTOS DE ENTRADA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;2100
001100;91230;04;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;40
001100;91230;04;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;265
001100;91230;04;03;ACTUACIONES EN MATERIA DE GESTIÓN DE PERSONAL;NÚMERO/AÑO;280
001100;91230;05;09;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;NÚMERO/AÑO;2
001100;91230;05;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5
001100;91230;05;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1
001100;91230;05;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;10
001100;91230;05;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;12
001100;91230;05;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;NÚMERO/AÑO;142
001100;91230;05;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;NÚMERO/AÑO;2
001100;91230;05;02;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO/AÑO;9
001100;91230;05;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA SEDE DE LA PRESIDENCIA DEL PLENO;NÚMERO/AÑO;1
001100;91240;01;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;20
001100;91240;01;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;168
001100;91240;02;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA ADSCRITO A LOS GRUPOS POLÍTICOS MUNICIPALES;NÚMERO/AÑO;1
001100;91240;02;02;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO/AÑO;2
001100;91240;02;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;NÚMERO/AÑO;2
001100;91240;02;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;NÚMERO/AÑO;34
001100;91240;02;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;12
001100;91240;02;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;NÚMERO;10
001100;91240;02;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1
001100;91240;02;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5
001101;91201;01;01;Reuniones;NÚMERO;300
001101;91201;01;02;Plenos;NÚMERO;25
001101;91201;01;03;Juntas de Gobierno presididas;NÚMERO;55
001102;49102;01;05;Proyectos innovadores  en el marco del Ecosistema GovTech;NÚMERO;2
001102;49102;01;04;Iniciativas de capacitacion avanzada en transf. digital;NÚMERO;20
001102;49102;01;03;Participacion en actos públicos difusion transf. digital Ayto;NÚMERO;25
001102;49102;01;02;Planteamiento de proyectos de transformacion digital;NÚMERO;10
001102;49102;01;01;Estudios en materia de transformación digital y adm. electrónica;NÚMERO;4
001102;49102;02;01;Desarrollo Estrategia de Datos del Ayto. Madrid y sus OOPP;NÚMERO;1
001102;49102;02;02;Participacion en jornadas sobre gestión de datos y analitica;NÚMERO;5
001102;49102;02;03;Participacion grupos nacionales e internac. analítica datos;NÚMERO;2
001102;49102;02;04;Análisis de plataformas tecnologicas de gobierno de datos;NÚMERO;8
001102;49102;02;05;Elaboracion y difusion de informes Administracion Digital;NÚMERO;4
001102;49102;02;06;Análisis e impulso proyectos de datos del Ayuntamiento;NÚMERO;5
001102;49102;03;06;Nuevas gestiones internas Ayre;NÚMERO;5
001102;49102;03;05;Actuaciones atención y asesoramiento ciudadanos y gestores;NÚMERO;3000
001102;49102;03;04;Proyectos Sede Electronica y Carpeta ciudadano en el movil;NÚMERO;3
001102;49102;03;03;Analisis e informe de normativa y propuestas procedimientos;NÚMERO;30
001102;49102;03;02;Nuevos servicios a la Plataforma de Intermediacion de Datos;NÚMERO;5
001102;49102;03;01;Proyectos de digitalización y automatizacion;NÚMERO;4
001102;91202;01;01;ACTIVIDADES PROGRAMADAS EN AGENDA;NÚMERO;350
001102;91202;01;02;ACTIVIDADES DE COORDINACIÓN CON GABINETES DE LAS ÁREAS DE GOBIERNO;NÚMERO;250
001102;91202;01;03;MINUTAS E INFORMES DE ASESORAMIENTO;NÚMERO;400
001102;91202;01;04;COMUNICACIONES, PETICIONES Y ESCRITOS GESTIONADOS;NÚMERO;5000
001102;92002;01;01;ESTUDIOS;NÚMERO;80
001102;92002;01;02;INFORMES;NÚMERO;90
001102;92002;01;03;PROPUESTAS;NÚMERO;45
001102;92002;02;01;ESTUDIOS Y ANÁLISIS;NÚMERO;60
001102;92002;02;02;ELABORACIÓN DE PROPUESTAS;NÚMERO;20
001102;92009;01;03;EXPEDIENTES DE BASTANTEOS;NÚMERO;700
001102;92009;01;02;INFORMES;NÚMERO;2100
001102;92009;01;01;PLEITOS;NÚMERO;8300
001102;92012;01;01;EXPEDIENTES DE PROVISIÓN DE PUESTOS DE TRABAJO;NÚMERO;140
