CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001100;91216;01;01;REUNIONES;NÚMERO/AÑO;250;251
001100;91216;01;02;BORRADORES ORDEN DEL DÍA ELABORADOS;NÚMERO/AÑO;35;17
001100;91216;01;03;JUNTAS DE PORTAVOCES;NÚMERO/AÑO;15;16
001100;91216;02;01;MEMORIALES ESCULTÓRICO-ARQUITECTÓNICOS;NÚMERO/AÑO;1;1
001100;91230;01;01;SESIONES DEL PLENO;NÚMERO/AÑO;24;17
001100;91230;01;02;SESIONES DE LAS COMISIONES DEL PLENO;NÚMERO/AÑO;124;119
001100;91230;01;03;RETRANSMISIÓN SOBRE SESIONES COMISIONES PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100;100
001100;91230;01;04;RETRANSMISIÓN SOBRE SESIONES COMISIONES NO PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100;100
001100;91230;01;05;RESOLUCIONES RELATIVAS AL PLENO Y SUS COMISIONES;NÚMERO/AÑO;300;244
001100;91230;01;06;RETRANSMISIÓN SOBRE SESIONES DEL PLENO EFECTIVAMENTE REALIZADAS;PORCENTAJE;100;100
001100;91230;02;01;ACTUALIZACIONES DE LA INFORMACIÓN;NÚMERO/AÑO;2100;2085
001100;91230;02;02;DOCUMENTOS ACCESIBLES A TRAVÉS DE LA WEB;NÚMERO/AÑO;7000;8200
001100;91230;03;07;ANOTACIONES EN EL REGISTRO DE CAUSAS DE POSIBLE INCOMPATIBILIDAD Y DE ACTIVIDADES DE LOS CONCEJALES;NÚMERO/AÑO;60;57
001100;91230;03;06;ANOTACIONES EN EL REGISTRO DE BIENES PATRIMONIALES DE LOS CONCEJALES;NÚMERO/AÑO;65;62
001100;91230;03;05;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;77;105
001100;91230;03;04;ANOTACIONES DE DISTINCIONES CONCEDIDAS EN EL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;11;19
001100;91230;03;03;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DEL PLENO;NÚMERO/AÑO;3000;2800
001100;91230;03;02;ASIENTOS DE SALIDA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;100;208
001100;91230;03;01;ASIENTOS DE ENTRADA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;2100;1847
001100;91230;04;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;40;34
001100;91230;04;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;265;268
001100;91230;04;03;ACTUACIONES EN MATERIA DE GESTIÓN DE PERSONAL;NÚMERO/AÑO;280;293
001100;91230;05;09;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;NÚMERO/AÑO;2;2
001100;91230;05;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5;5
001100;91230;05;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACIÓN;NÚMERO;1;1
