Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado;Pagos Real
;;001;002;23270;60900;2019/000366;2019/000366;MEMORIAL A LAS PERSONAS FUSILADAS Y EJECUTADAS POR LA DICTADURA MILITAR EN MADRID;215;CIUDAD LINEAL;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;333620,93;333620,93;27167,31;0,00;306453,62;306453,62;8557,12;0,00;8557,12
;;001;002;23270;60900;2019/000448;2019/000448;MEMORIAL A HOMBRES Y MUJERES DE MADRID DEPORTADOS A CAMPOS CONCENTRACIÓN NAZIS;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;300000,00;300000,00;300000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;23270;60900;2019/000554;2019/000554;PLACAS CONMEMORATIVAS VÍCTIMAS ESPAÑOLAS EN EL CAMPO CONCENTRACIÓN MAUTHAUSEN;999;NO DISTRITALIZABLE;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;323,07;323,07;0,00;0,00;323,07;323,07;323,07;0,00;323,07
;;001;002;23270;60900;2019/000555;2019/000555;"""PIEDRAS DE TROPIEZO"" HOMENAJE MADRILEÑOS DEPORTADOS CAMPOS CONCENTRACIÓN NAZI";998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;1056,00;1056,00;0,00;0,00;1056,00;1056,00;1056,00;0,00;1056,00
4;SC Y CE FINANC. CON RTG;001;002;33601;60900;2019/004208;2019/004208;IFS-INTERVENCIÓN MEMORIALÍSTICA CÁRCEL DE CARABANCHEL;211;CARABANCHEL;10;CULTURA;06;ESTATUAS Y MONUMENTOS;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;300000,00;300000,00;300000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91216;60900;2019/000249;2019/000249;CUADROS Y PLACAS DE ALCALDES DE MADRID EN PLAZA DE LA VILLA, 4;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;40000,00;0,00;40000,00;40000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62302;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;1500,00;1500,00;225,00;0,00;1275,00;1275,00;0,00;0,00;0,00
;;001;002;91230;62500;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;6000,00;0,00;6000,00;545,11;0,00;5454,89;5454,89;534,06;0,00;0,00
;;001;002;91230;62599;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;1851,54;0,00;3148,46;3148,46;1514,96;0,00;1514,96
;;001;002;91230;62601;2019/000244;2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;500,00;0,00;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00
