CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001002;91230;01;01;Sesiones del Pleno;NÚMERO;20;24
001002;91230;01;02;Sesiones de las Comisiones del Pleno;NÚMERO;106;112
001002;91230;02;01;Actualizaciones de la información;NÚMERO;1500;2426
001002;91230;02;02;Documentos accesibles a través de la Web;NÚMERO;5500;6107
001002;91230;03;01;Documentos o archivos digitales que se entregan a los Concejales;NÚMERO;1710;2992
001002;91230;03;02;Gestión de los documentos aportados por los Concejales;NÚMERO;350;627
001002;91230;04;01;Asientos de entrada en el Registro del Pleno;NÚMERO;1200;1340
001002;91230;04;02;Asientos de salida en el Registro del Pleno;NÚMERO;1300;1031
001002;91230;04;03;Incorporación de documentación asociada a los asientos del Registro del Pleno;NÚMERO;2500;2371
001002;91230;04;04;Anotaciones de Distinciones Concedidas en el Registro de Distinciones Honoríficas;NÚMERO;12;7
001002;91230;04;05;Incorporación de documentación asociada a los asientos del Registro de Distinciones Honoríficas;NÚMERO;24;16
001002;91230;04;06;Anotaciones en el Registro de Bienes Patrimoniales de los Concejales;NÚMERO;120;188
001002;91230;04;07;Anotaciones en el Registro de causas de posible incompatibilidad y de actividades de los Concejales;NÚMERO;120;155
001002;91240;01;04;Documentos contables realizados;NÚMERO;170;184
001002;91240;01;03;Contratos menores tramitados;NÚMERO;60;68
001002;91240;01;02;Contratos tramitados por procedimiento negociado;NÚMERO;1;1
001002;91240;01;01;Contratos tramitados por procedimiento abierto;NÚMERO;2;2
001002;91240;02;01;Edificio con mantenimiento integral y limpieza adscrito a los Grupos Políticos Municipales;NÚMERO;1;1
001002;91240;02;02;Instalaciones de elevación y electromecánicas con mantenimiento;NÚMERO;2;2
001002;91240;02;03;Instalaciones de elementos de control de objetos y personas;NÚMERO;2;2
001002;91240;02;04;Instalaciones de elementos de control de acceso y seguridad;NÚMERO;30;30
001002;92010;01;01;Contratos tramitados por procedimiento abierto;NÚMERO;3;3
001002;92010;01;02;Contratos tramitados por procedimiento negociado;NÚMERO;2;1
001002;92010;01;03;Contratos menores tramitados;NÚMERO;60;53
001002;92010;01;04;Documentos contables realizados;NÚMERO;280;245
