CeGe;Prog. Finan.;Objetivo;Actividad por Objetivo;Descripción Actividades
001010;91202;01;A;Funciones de asesoramiento y asistencia de carácter inmediato y permanente a la Alcaldesa en las funciones de Gabinete
001010;91202;02;A;Elaboración de programas de los actos de la Alcaldía
001010;91202;02;B;Coordinación y supervisión de los actos protocolarios a los que asista la Alcaldesa o Concejal en que, en su caso, deleg
001010;91202;02;C;Planificación y organización de las visitas al Ayuntamiento de Madrid de los Jefes de Estado y Altos dignatarios
001010;91202;02;D;Asesoramiento en las materias inherentes en las relaciones públicas y protocolo
001012;91200;01;A;Gestión de la aplicación de los asuntos elevados a la Junta de Gobierno
001012;91200;01;B;Gestión y mantenimiento de la información publicada en la web sobre los acuerdos adoptados por la Junta de Gobierno
001012;91200;01;C;Información a través de la web del periodo de información pública de los asuntos aprobados  por la Junta de Gobierno
001012;91200;01;D;Seguimiento de la publicación y difusión de los acuerdos
001012;91200;01;E;Envío a los Servicios de la documentación relativa a los asuntos aprobados por la Junta de Gobierno
001012;91200;01;F;Elaboración de la memoria anual de las actuaciones de la Junta deGobierno
001012;91200;02;A;Incorporación a la aplicación informática de toda la información sobre organismos y representantes municipales
001012;91200;02;B;Diseño de un sistema de explotación general de la información.
001012;91200;03;A;Informatización de los convenios suscritos con anterioridad al 31 de diciembre de 2004
001012;91200;03;B;Publicaciones de las relaciones de convenios en la página web y en el Boletín del Ayuntamiento
001012;91200;03;C;Elaboración de la memoria anual del Registro de convenios
001012;91200;04;A;Gestión informatizada de los documentos enviados por otras Administraciones e Instituciones públicas para la exposición
001012;91200;04;B;Publicación de los anuncios en el Tablón de edictos
001012;91200;05;A;Expedición de certificaciones y copias auténticas
001012;91200;05;B;Autorización a los ciudadanos de los documentos que deban ser legalizados para surtir efectos en el extranjero
001012;91200;05;C;Información presencial a los ciudadanos de los trámites necesarios para la legalización de los documentos
001012;91200;05;D;Incorporación en los correspondientes Registros de los decretos de la Alcaldesa y los decretos y resoluciones de los órg
001012;92000;01;A;Elaboración de propuestas de relación de puestos de trabajo.
001012;92000;01;B;Tramitación de expedientes de cobertura de vacantes.
001012;92000;01;C;Seguimiento de situaciones administrativas.
001012;92000;01;D;Control horario.
001012;92000;01;E;Coordinación y seguimiento del Plan de Formación en el ámbito de laCoordinación General de la Alcaldía.
001012;92000;01;F;Gestión y organización interna y logística de los servicios comunes.
001012;92000;02;A;Estudio y tramitación de expedientes de contratación
001012;92000;02;B;Tramitación y seguimiento de los expedientes de gastos.
001012;92000;02;C;Tramitación de modificaciones presupuestarias.
001012;92000;02;D;Seguimiento de la ejecución presupuestaria: gastos e ingresos.
001012;92000;02;E;Habilitación de pagos: anticipos de caja fija y pagos a justificar.
