CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001010;91201;01;01;01 Reuniones;NÚMERO;220;240
001010;91201;01;02;02 Plenos presididos;NÚMERO;33;22
001010;91201;01;03;03 Juntas de Gobierno presididas;NÚMERO;52;55
001012;17101;01;01;Proyecto de paisajismo;NÚMERO;1;1
001012;23290;01;01;Convocatorias de subvenciones públicas;NÚMERO;2;2
001012;23290;01;02;Proyectos financiados de ciudadanía global;NÚMERO;15;9
001012;23290;01;03;Proyectos financiados investigación aplicada;NÚMERO;4;4
001012;23290;01;04;Actividades formativas realizadas;NÚMERO;3;0
001012;23290;01;05;Publicación información (noticias, documentos, etc);NÚMERO;200;202
001012;23290;01;06;Proyectos financiados que incluyen promoción de la igualdad;PORCENTAJE;40;50
001012;23290;01;07;Proyectos financiados que incluyen la perspectiva de género;PORCENTAJE;100;100
001012;23290;01;08;Proyectos financiados que incluyen la promoción de derechos humanos entre sus metas;PORCENTAJE;100;100
001012;23290;01;09;Reuniones Foro Madrid Solidario;NÚMERO;7;5
001012;23290;01;10;Inversión total generada en ciudadanía global;EUROS;1125000;1344078
001012;23290;02;01;CONVOCATORIA DE SUBVENCIONES PUBLICADAS;NÚMERO;1;1
001012;23290;02;02;PROYECTOS FINANCIADOS DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO;NÚMERO;15;17
001012;23290;02;03;PROGRAMAS DE COOPERACIÓN INTEGRAL ENTRE CIUDADES;NÚMERO;15;15
001012;23290;02;04;PROYECTOS FINANCIADOS QUE INCLUYEN EL ENFOQUE DE DERECHOS HUMANOS;PORCENTAJE;100;100
001012;23290;02;05;PROYECTOS FINANCIADOS QUE INCLUYEN LA PERSPECTIVA DE GÉNERO;PORCENTAJE;100;100
001012;23290;02;06;ACTIVIDADES FORMATIVAS DERIVADAS DE ACUERDOS DE COOPERACIÓN INTEGRAL;NÚMERO;30;28
001012;23290;02;07;JORNADAS, ENCUENTROS, SEMINARIOS DERIVADOS DE ACUERDOS DE COOPERACIÓN INTEGRAL;NÚMERO;50;64
001012;23290;02;08;REUNIONES GRUPO TRABAJO COOPERACIÓN INTEGRAL DEL FORO MADRID SOLICARIO;NÚMERO;2;2
001012;23290;02;09;INVERSIÓN TOTAL GENERADA EN COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO;EUROS;6250000;6250000
001012;23290;03;01;REUNIONES DE COORDINACIÓN CON EL RESTO DE ÁREAS DE GOBIERNO;NÚMERO;4;4
001012;23290;03;02;MODALIDADES DE LA POLITICA DE CIUDADANÍA GLOBAL Y LA COOPERACIÓN ALINEADOS CON LOS AMBITOS ESTRATÉGICOS;PORCENTAJE;100;100
001012;23290;03;03;ACCIONES, NOTICIAS E INFORMACIONES QUE INCORPORAN LOS ÁMBITOS ESTRATÉGICOS;PORCENTAJE;100;100
001012;23290;03;04;INFORMES DE SEGUIMIENTO DE IMPLEMENTACIÓN LA AGENDA 2030;NÚMERO;1;0
001012;23290;04;01;PROYECTOS FINANCIADOS PARA EMERGENCIA Y ACCIÓN HUMANITARIA;NÚMERO;5;11
001012;23290;04;02;PROYECTOS INCLUYEN LA PERSPECTIVA DE GÉNERO;PORCENTAJE;100;100
001012;23290;04;03;PROYECTOS INCLUYEN EL ENFOQUE DE DERECHOS HUMANOS;PORCENTAJE;100;100
001012;23290;04;04;INVERSIÓN TOTAL EN EMERGENCIA Y ACCIÓN HUMANITARIA;EUROS;1300000;1477000
001012;46200;01;01;Eventos de innovación en la ciudad de Madrid;NÚMERO;200;848
001012;46200;01;02;Acciones de innovación con grandes empresas;NÚMERO;4;59
001012;46200;01;03;Apoyo a las startups innovadoras;NÚMERO;100;162
001012;46200;02;01;Mapa de Demanda Temprana sobre compra pública innovadora para la ciudad de Madrid;NÚMERO;1;1
001012;46200;02;02;Vinculación a las redes nacionales e internacionales orientadas a la compra publica innovadora;NÚMERO;2;2
001012;46200;02;03;Desarrollo, adaptación y puesta en funcionamiento de la estrategia de compra pública innovadora del ayuntamiento;NÚMERO;1;1
001012;46200;02;04; Adquisiciones por el sistema de Compra Pública Innovadora;NÚMERO;4;1
001012;46200;03;01;Colaboración con empresas que desarrollan actuaciones relacionadas con la ciudad inteligente;NÚMERO;4;8
001012;46200;03;02;Acciones de apoyo a startups que trabajan en el ámbito de las ciudades inteligentes;NÚMERO;10;25
001012;46200;03;03;Fomento de las redes de ciudades inteligentes;NÚMERO;2;2
001012;46200;04;01;Documentos analizados;NÚMERO;5;10
001012;46200;05;01;ACCIONES DE DIFUSIÓN TECNOLÓGICA ENTRE LAS MUJERES DE MADRID;NÚMERO;4;5
001012;91202;01;01;Actos de naturaleza oficial;NÚMERO;300;377
001012;91202;01;02;Atenciones protocolarias y representativas;NÚMERO;400;100
001012;91202;02;01;Peticiones del Defensor del Pueblo tramitadas;NÚMERO;200;220
001012;91202;02;02;Solicitudes de dictamen a la Comisión Jurídica Asesora de la Comunidad de Madrid;NÚMERO;120;151
001012;91202;02;03;Observaciones sobre procedimientos remitidas a la Comisión Europea;NÚMERO;1;0
001012;91202;02;04;Peticiones de información de las Comisiones de las Cortes Generales;NÚMERO;2;4
001012;92206;01;01;Reuniones y sesiones de grupos de trabajo;NÚMERO;400;350
001012;92206;02;01;Actividades y eventos impulsados;NÚMERO;70;27
001012;92207;01;01;PARTICIPACIÓN EN ACTIVIDADES DE INSTITUCIONES DE LA UE;NÚMERO;2;5
001012;92207;01;02;PARTICPACIÓN EN ORGANISMOS Y ASOCIACIONES INTERNACIONALES Y NACIONALES;NÚMERO;30;41
001012;92207;01;03;PARTICIPACIÓN EN FOROS Y REUNIONES INTERNACIONALES Y NACIONALES;NÚMERO;20;27
001012;92207;01;04;CELEBRACIÓN DE ENCUENTROS Y REUNIONES INTERNACIONALES EN MADRID;NÚMERO;2;4
001012;92207;02;01;REALIZACIÓN DE PROGRAMAS DE TRABAJO PARA DELEGACIONES OFICIALES;NÚMERO;60;151
001012;92207;02;02;VISITAS INSTITUCIONALES;NÚMERO;10;13
001012;92207;02;03;ACTIVIDADES DERIVADAS DE ACUERDOS EXISTENTES CON OTRAS CIUDADES;NÚMERO;20;27
001012;92207;03;01;NÚMERO DE CONTRATOS EN LOS QUE SE INCLUYE CLÁUSULAS DE IGUALDAD DE GÉNERO;NÚMERO;1;1
001012;92207;04;01;Documentos analizados;NÚMERO;5;12
001012;92402;01;01;Asesoramiento a las Áreas de Gobierno y Juntas de Distrito;NÚMERO;7;7
001012;92402;01;02;Empresas que participan en proyectos de ciudad asesorados por al Subdirección General de Promoción Internacional y Parti;NÚMERO;10;18
