Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc.;C. Definitivo;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;1;2;23270;60900;2019/000366;2019/000366; MEMORIAL A LAS PERSONAS FUSILADAS Y EJECUTADAS POR LA DICTADURA MILITAR EN MADRID;215;CIUDAD LINEAL;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;333620,93;333620,93;30010,81;0;303610,12;8557,12;8557,12;0;8557,12
;;1;2;23270;60900;2019/000448;2019/000448; MEMORIAL A HOMBRES Y MUJERES DE MADRID DEPORTADOS A CAMPOS CONCENTRACIÓN NAZIS;201;CENTRO;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;300000;300000;300000;0;0;0;0;0;0
;;1;2;23270;60900;2019/000554;2019/000554; PLACAS CONMEMORATIVAS VÍCTIMAS ESPAÑOLAS EN EL CAMPO CONCENTRACIÓN MAUTHAUSEN;999;NO DISTRITALIZABLE;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;323,07;323,07;0;0;323,07;323,07;0;0;0
;;1;2;23270;60900;2019/000555;2019/000555;" ""PIEDRAS DE TROPIEZO"" HOMENAJE MADRILEÑOS DEPORTADOS CAMPOS CONCENTRACIÓN NAZI";998;VARIOS DISTRITOS;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;0;1056;1056;0;0;1056;1056;0;0;0
;;1;2;91216;60900;2019/000249;2019/000249; CUADROS Y PLACAS DE ALCALDES DE MADRID EN PLAZA DE LA VILLA, 4;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;40000;0;40000;40000;0;0;0;0;0;0
;;1;2;91230;62302;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;1500;1500;1500;0;0;0;0;0;0
;;1;2;91230;62500;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;6000;0;6000;6000;0;0;0;0;0;0
;;1;2;91230;62599;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000;0;5000;3485,04;0;1514,96;1514,96;699,08;0;699,08
;;1;2;91230;62601;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;500;0;500;500;0;0;0;0;0;0
;;1;2;91230;63600;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;110000;-1500;108500;12382,44;0;96117,56;70082,67;0;0;0
;;1;2;91240;62500;2019/000247;2019/000247; EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;20000;0;20000;14060,71;0;5939,29;5939,29;5939,29;0;5939,29
;;1;2;91240;62599;2019/000247;2019/000247; EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7000;0;7000;7000;0;0;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;3;92222;62500;2018/001105;2018/001105; EQUIPAMIENTO OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;5675,05;5675,05;0;0;5675,05;5675,05;5675,03;0;5675,03
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;17101;61921;2018/005025;2018/005025;IFS-RECINTO FERIAL DE LA CASA DE CAMPO. MEJORA DEL PAISAJE;209;MONCLOA-ARAVACA;9;MEDIO AMBIENTE;0;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;105305,65;105305,65;0;0;105305,65;58672,9;0;0;0
;;1;12;46200;63600;2019/000406;2019/000406; CENTRO DE INNOVACIÓN LA N@VE. REPOSICIÓN EQUIPOS DE COMUNICACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;0;150000;150000;1568,34;0;148431,66;148431,66;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;62301;2018/005023;2018/005023;IFS-EQUIPOS AUDIOVISUALES DE LA NAVE. INSTALACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;756250;756250;0;0;756250;564389,28;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;62599;2018/006085;2018/006085;IFS-SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. MOBILIARIO;998;VARIOS DISTRITOS;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;324111,91;324111,91;0;0;324111,91;263155,66;35229,15;0;35229,15
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005014;2018/005014;IFS-COMPRA PÚBLICA DE INNOVACIÓN. MEDICIÓN EMISIONES GASEOSAS DE VALDEMINGÓMEZ;218;VILLA DE VALLECAS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;249260;249260;0;0;249260;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005015;2018/005015;IFS-COMPRA PÚBLICA DE INNOVACIÓN. MEDICIÓN DE NANOPARTÍCULAS;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;412005;412005;0;0;412005;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005016;2018/005016;IFS-COMPRA PÚBLICA DE INNOVACIÓN. DETECCIÓN REMOTA VEHÍCULOS ALTAMENTE CONTAMINANTES;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;1047860;1047860;0;0;1047860;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005017;2018/005017;IFS-COMPRA PÚBLICA DE INNOVACIÓN. BIOMARCADORES PARA LA MEDIDA DE LA CALIDAD DEL AIRE;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;271040;271040;0;0;271040;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005018;2018/005018;IFS-COMPRA PÚBLICA DE INNOVACIÓN. CARRO DE LIMPIEZA CON ASISTENCIA ELÉCTRICA;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;498079,84;498079,84;0;0;498079,84;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005019;2018/005019;IFS-COMPRA PÚBLICA DE INNOVACIÓN. SENSORES EN PAPELERAS PARA OPTIMIZAR RECOGIDA DE RESIDUOS;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;349724,35;349724,35;0;0;349724,35;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005020;2018/005020;IFS-COMPRA PÚBLICA DE INNOVACION. BIOFILTROS  REDUCCIÓN EMISIONES ATMÓSFÉRICA TÚNELES CALLE 30;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;79603,43;79603,43;79603,43;0;0;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/005022;2018/005022;IFS-COMPRA PÚBLICA DE INNOVACION.CARGA VEHÍCULOS ELÉCTRICOS EN LA NAVE CON ENERGÍAS RENOVABLES;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;664698,58;664698,58;0;0;664698,58;0;0;0;0
2;INCORPORACIONES REMANENTES VOLUNTARIAS;1;12;46300;64099;2018/006000;2018/006000;IFS-TECNOLOGÍA INNOVADORA APLICADA A LA DISCAPACIDAD AUDITIVA SEVERA;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;3;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0;298507;298507;0;0;298507;298507;199045;0;199045
;;1;16;92000;62400;2019/000027;2019/000027; SERVICIOS GERENCIA DE LA CIUDAD. FURGONETAS DIVISION DE MONTAJES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;85000;0;85000;30529,55;0;54470,45;54470,45;0;0;0
;;1;16;92000;62500;2019/000029;2019/000029; SERVICIOS GERENCIA DE LA CIUDAD. MOBILIARIO OFICINAS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000;49000;54000;54000;0;0;0;0;0;0
;;1;16;92000;62599;2019/000024;2019/000024; SERVICIOS GERENCIA DE LA CIUDAD. ELEMENTOS AUDIOVISUALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000;0;15000;15000;0;0;0;0;0;0
;;1;16;92000;62599;2019/000385;2019/000385; SERVICIOS GERENCIA CIUDAD. VITRINAS EXPOSITORAS TROFEOS DEPORTIVOS DE LA CIUDAD;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;15000;15000;8,1;0;14991,9;14610,75;14610,75;0;14610,75
;;1;16;92000;63301;2017/000227;2017/000227; SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1653;6912,49;8565,49;1801,1;0;6764,39;6764,39;0;0;0
;;1;16;92005;62599;2019/000416;2019/000416; EQUIPAMIENTO SERVICIOS RELACIONES LABORALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;11500;11500;850,18;0;10649,82;10649,82;10649,82;0;10649,82
