CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001010;91201;01;01;01 Reuniones;NÚMERO;220;550
001010;91201;01;02;02 Plenos presididos;NÚMERO;33;33
001010;91201;01;03;03 Juntas de Gobierno presididas;NÚMERO;52;63
001012;23290;01;01;Convocatorias de subvenciones públicas;NÚMERO;2;2
001012;23290;01;02;Proyectos financiados de ciudadanía global;NÚMERO;15;9
001012;23290;01;03;Proyectos financiados investigación aplicada;NÚMERO;4;4
001012;23290;01;04;Actividades formativas realizadas;NÚMERO;3;3
001012;23290;01;05;Publicación información (noticias, documentos, etc);NÚMERO;200;206
001012;23290;01;06;Proyectos financiados que incluyen promoción de la igualdad;PORCENTAJE;40;100
001012;23290;01;07;Proyectos financiados que incluyen la perspectiva de género;PORCENTAJE;100;100
001012;23290;01;08;Proyectos financiados que incluyen la promoción de derechos humanos entre sus metas;PORCENTAJE;100;100
001012;23290;01;09;Reuniones Foro Madrid Solidario;NÚMERO;7;5
001012;23290;01;10;Inversión total generada en ciudadanía global;EUROS;1160000;1289573
001012;23290;02;01;CONVOCATORIA DE SUBVENCIONES PUBLICADAS;NÚMERO;1;1
001012;23290;02;02;PROYECTOS FINANCIADOS DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO;NÚMERO;15;16
001012;23290;02;03;PROGRAMAS DE COOPERACIÓN INTEGRAL ENTRE CIUDADES;NÚMERO;15;16
001012;23290;02;04;PROYECTOS FINANCIADOS QUE INCLUYEN EL ENFOQUE DE DERECHOS HUMANOS;PORCENTAJE;100;100
001012;23290;02;05;PROYECTOS FINANCIADOS QUE INCLUYEN LA PERSPECTIVA DE GÉNERO;PORCENTAJE;100;100
001012;23290;02;06;ACTIVIDADES FORMATIVAS DERIVADAS DE ACUERDOS DE COOPERACIÓN INTEGRAL;NÚMERO;30;36
001012;23290;02;07;JORNADAS, ENCUENTROS, SEMINARIOS DERIVADOS DE ACUERDOS DE COOPERACIÓN INTEGRAL;NÚMERO;50;56
001012;23290;02;08;REUNIONES GRUPO TRABAJO COOPERACIÓN INTEGRAL DEL FORO MADRID SOLICARIO;NÚMERO;3;2
