Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;1;100;23270;60900;2020/000138;2020/000138;MEMORIAL ESCULTÓRICO POR LA CULTURA DEMOCRÁTICA Y EL RESPETO A LOS DERECHOS HUMANOS;201;CENTRO;10;CULTURA;6;ESTATUAS Y MONUMENTOS;;;;;;;300.000,00;0;300.000,00;300.000,00;0;0;0;0;0;0
;;1;100;91216;60900;2020/000034;2020/000034;CUADROS Y PLACAS DE ALCALDES EN PLAZA DE LA VILLA Nº 4;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;40.000,00;0;40.000,00;40.000,00;0;0;0;0;0;0
;;1;100;91230;62302;2020/000050;2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;600;600;600;0;0;0;0;0;0
;;1;100;91230;62500;2020/000050;2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;8.000,00;0;8.000,00;8.000,00;0;0;0;0;0;0
;;1;100;91230;62599;2020/000050;2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5.000,00;0;5.000,00;2.088,23;0;2.911,77;2.911,77;0;0;0
;;1;100;91230;63600;2020/000050;2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;220.000,00;0;220.000,00;215.159,10;0;4.840,90;4.840,90;0;0;0
;;1;100;91240;62500;2020/000057;2020/000057;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10.000,00;0;10.000,00;10.000,00;0;0;0;0;0;0
;;1;100;91240;62599;2020/000057;2020/000057;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5.000,00;0;5.000,00;2.072,76;0;2.927,24;2.927,24;0;0;0
;;1;100;91240;63200;2020/000319;2020/000319;EDIFICIO CALLE MAYOR, 71. ADECUACIÓN ASCENSOR;201;CENTRO;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0;11.200,00;11.200,00;68;0;11.132,00;11.132,00;0;0;0
;;1;102;92012;63301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;827;0;827;0,59;0;826,41;826,41;826,41;0;826,41
;;1;102;92012;62400;2020/000078;2020/000078;SERVICIOS COORDINACIÓN  GENERAL DE LA ALCALDÍA. FURGONETAS;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;80.000,00;0;80.000,00;80.000,00;0;0;0;0;0;0
;;1;102;92012;62500;2020/000079;2020/000079;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDIA. MOBILIARIO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;100.000,00;-12.000,00;88.000,00;75.763,35;0;12.236,65;12.236,65;12.236,65;0;12.236,65
;;1;102;92012;62599;2020/000081;2020/000081;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDIA. AUDIOVISUALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;135.000,00;0;135.000,00;127.677,93;0;7.322,07;7.322,07;7.322,07;0;7.322,07
