Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2020/000138;MEMORIAL ESCULTÓRICO POR LA CULTURA DEMOCRÁTICA Y EL RESPETO A LOS DERECHOS HUMANOS;1100;23270;60900;300.000,00;10;CULTURA;6;ESTATUAS Y MONUMENTOS;201;CENTRO
2020/000034;CUADROS Y PLACAS DE ALCALDES EN PLAZA DE LA VILLA Nº 4;1100;91216;60900;40.000,00;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;201;CENTRO
2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;1100;91230;62500;8.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;1100;91230;62599;5.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000050;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;1100;91230;63600;220.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000057;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;1100;91240;62500;10.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000057;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS;1100;91240;62599;5.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000078;SERVICIOS COORDINACIÓN  GENERAL DE LA ALCALDÍA. FURGONETAS;1102;92012;62400;80.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000079;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDIA. MOBILIARIO;1102;92012;62500;100.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000081;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDIA. AUDIOVISUALES;1102;92012;62599;135.000,00;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
