CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001002;91230;01;01;Sesiones del Pleno;NÚMERO;30;35
001002;91230;01;02;Sesiones de las Comisiones del Pleno;NÚMERO;149;107
001002;91230;01;03;Retransmisión sesiones Comisiones Permanentes;PORCENTAJE;100;100
001002;91230;01;04;Retransmisión sesiones Comisiones No Permanentes;PORCENTAJE;80;100
001002;91230;02;01;Actualizaciones de la información;NÚMERO;700;750
001002;91230;02;02;Documentos accesibles a través de la Web;NÚMERO;6500;6900
001002;91230;03;07;Anotaciones en el Registro de causas de posible incompatibilidad y de actividades de los Concejales;NÚMERO;75;64
001002;91230;03;06;Anotaciones en el Registro de Bienes Patrimoniales de los Concejales;NÚMERO;75;65
001002;91230;03;05;Incorporación de documentación asociada a los asientos del Registro de Distinciones Honoríficas;NÚMERO;48;48
001002;91230;03;04;Anotaciones de distinciones Concedidas en el Registro de Distinciones Honoríficas;NÚMERO;12;8
001002;91230;03;01;Asientos de entrada en el Registro del Pleno;NÚMERO;1600;2043
001002;91230;03;02;Asientos de salida en el Registro del Pleno;NÚMERO;1500;1862
001002;91230;03;03;Incorporación de documentación asociada a los asientos del Registro del Pleno;NÚMERO;3100;3905
001002;91230;04;03;Actuaciones en materia de gestión de personal;NÚMERO;70;77
001002;91230;04;02;Documentos contables realizados;NÚMERO;250;285
001002;91230;04;01;Contratos menores tramitados;NÚMERO;60;39
001002;91230;05;04;Instalaciones de elementos de control de acceso y seguridad;NÚMERO;142;142
001002;91230;05;03;Instalaciones de elementos de control de objetos y personas;NÚMERO;2;2
001002;91230;05;02;Instalaciones de elevación y electromecánicas con mantenimiento;NÚMERO;9;9
001002;91230;05;01;Edificio con mantenimiento integral y limpieza sede de la Presidencia del Pleno;NÚMERO;1;1
001002;91230;06;01;Ejecución de los planes de autoprotección;NÚMERO;2;2
001002;91230;07;01;SESIONES DEL COMISIONADO;NÚMERO;11;14
001002;91240;01;03;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO;190;200
