Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;001;100;91216;61900;2025/000089;2025/000089;EDIFICIO PLAZA DE LA VILLA, 4. RESTAURACIÓN DE LÁMPARAS, FAROLES Y OTROS;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;12000;0;12000;12000;0;0;0;0;0;0
;;001;100;91230;62500;2025/000091;2025/000091;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000;0;4000;4000;0;0;0;0;0;0
;;001;100;91230;62599;2025/000091;2025/000091;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000;0;2000;1443,4;0;556,6;556,6;0;0;0
;;001;100;91230;62901;2025/000098;2025/000098;SERVICIOS SECRETARÍA GENERAL DEL PLENO. SEÑALIZACIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000;0;2000;2000;0;0;0;0;0;0
;;001;100;91230;63200;2025/000099;2025/000099;EDIFICIO PLAZA DE LA VILLA, 4. OBRAS DE ADECUACIÓN DE CLIMATIZACIÓN;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000;0;15000;5950,72;0;9049,28;9049,28;0;0;0
;;001;100;91230;63600;2025/000092;2025/000092;SERVICIOS SECRETARÍA GENERAL DEL PLENO. ELEMENTOS DE COMUNICACIÓN Y TRANSCRIPCIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;12000;0;12000;12000;0;0;0;0;0;0
;;001;100;91240;62500;2025/000100;2025/000100;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS MUNCIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000;0;5000;5000;0;0;0;0;0;0
;;001;100;91240;62599;2025/000100;2025/000100;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS MUNCIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000;0;2000;1875,37;0;124,63;124,63;0;0;0
;;001;100;91240;62901;2025/000097;2025/000097;SERVICIOS GRUPOS POLITICOS MUNICIPALES. SEÑALIZACIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000;0;2000;2000;0;0;0;0;0;0
;;001;102;92012;60900;2025/000341;2025/000341;BELÉN ARTÍSTICO DEL AYUNTAMIENTO DE MADRID. ADQUISICIÓN DE NUEVAS FIGURAS;203;RETIRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;5000;0;5000;5000;0;0;0;0;0;0
;;001;102;92012;62302;2025/000061;2025/000061;EQUIPAMIENTO SERVICIOS DE COORDINACIÓN GENERAL DE LA ALCALDÍA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1000;0;1000;1000;0;0;0;0;0;0
;;001;102;92012;62500;2025/000062;2025/000062;SERVICIOS COORDINACIÓN GENERAL ALCALDÍA. MOBILIARIO Y EQUIPOS OFICINA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000;0;15000;15000;0;0;0;0;0;0
;;001;102;92012;62599;2025/000061;2025/000061;EQUIPAMIENTO SERVICIOS DE COORDINACIÓN GENERAL DE LA ALCALDÍA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000;0;15000;12338;0;2662;2662;0;0;0
