Centro;Descripcion Centro;Seccion;Descripcion Seccion;Programa;Descripcion Programa;Cap.;Cap.;Economico;Descripcion Economico;CRED.INICIAL;MOD.CREDITO;C.DEFINITIVO;C.AUTORIZADO;C.DISPUESTO;OBL.RECONOC
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49101;SERVICIOS INFORMÁTICOS Y COMUNICACIONES;4;4;41002;A INFORMÁTICA AYUNTAMIENTO DE MADRID;141174456;0;141174456;70587228;70587228;70587228
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49101;SERVICIOS INFORMÁTICOS Y COMUNICACIONES;7;7;71002;A INFORMÁTICA AYUNTAMIENTO MADRID;21925350;1173876,8;23099226,8;1173876,8;1173876,8;1173876,8
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49179;NGEU. CONVENIO  SERVICIOS SOCIALES;7;7;71062;A INFORMÁTICA AYUNTAMIENTO DE;674755;0;674755;0;0;0
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23200;PLANES CONCERTADOS DE REEQUILIBRIO;4;4;41005;A LA AGENCIA PARA EL EMPLEO DE MADRID;4378472;0;4378472;3573904;3573904;3573904
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23200;PLANES CONCERTADOS DE REEQUILIBRIO;4;4;41008;A MADRID SALUD;1724831;0;1724831;1724831;1724831;1724831
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23201;FONDO DE REEQUILIBRIO TERRITORIAL;4;4;41008;A MADRID SALUD;2349231;0;2349231;2349231;2349231;2349231
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31103;PREVENCIÓN Y PROMOCIÓN DE LA SALUD;4;4;41008;A MADRID SALUD;113640439;0;113640439;56820219,5;56820219,5;56820219,5
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31103;PREVENCIÓN Y PROMOCIÓN DE LA SALUD;7;7;71008;A MADRID SALUD;1878202;0;1878202;0;0;0
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24101;EMPLEO;4;4;41005;A LA AGENCIA PARA EL EMPLEO DE MADRID;43365053;0;43365053;21682526,5;21682526,5;14455017,67
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24101;EMPLEO;7;7;71005;A LA AGENCIA PARA EL EMPLEO DE MADRID;3998150;0;3998150;0;0;0
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;93200;GESTIÓN TRIBUTARIA;4;4;41007;A LA AGENCIA TRIBUTARIA MADRID;70567514;0;70567514;35283757;35283757;23522504,67
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;93200;GESTIÓN TRIBUTARIA;7;7;71007;A LA AGENCIA TRIBUTARIA MADRID;178092;0;178092;0;0;0
001;AYUNTAMIENTO DE MADRID;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;15109;GESTIÓN DE LICENCIAS DE ACTIVIDADES;4;4;41001;A LA AGENCIA DE ACTIVIDADES;23076282;66505;23142787;11604646;11604646;11538141
001;AYUNTAMIENTO DE MADRID;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;15109;GESTIÓN DE LICENCIAS DE ACTIVIDADES;7;7;71001;A LA AGENCIA DE ACTIVIDADES;7835;0;7835;0;0;0
001;AYUNTAMIENTO DE MADRID;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;17211;SOSTENIBILIDAD;4;4;41008;A MADRID SALUD;31705;0;31705;31704,6;31704,6;31704,6
503;AGENCIA PARA EL EMPLEO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24100;DIREC. Y GESTIÓN ADMTVA. AG. EMPLEO DE MADRID;7;7;70000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;1550000;1550000;750000;750000;0
503;AGENCIA PARA EL EMPLEO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24100;DIREC. Y GESTIÓN ADMTVA. AG. EMPLEO DE MADRID;2;2;22502;TRIBUTOS DE LAS ENTIDADES LOCALES;3000;0;3000;0;0;0
508;MADRID SALUD;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31100;DIREC. Y GESTIÓN ADMTVA. MADRID SALUD;2;2;22502;TRIBUTOS DE LAS ENTIDADES LOCALES;1000;0;1000;0;0;0
