CeGe;Prog. Finan.;Objetivo;Actividad por Objetivo;Descripción Actividades
001100;91216;01;A;Asegurar la buena marcha de los trabajos del Pleno
001100;91216;01;B;Asistir al Alcalde en la preparación del borrador del orden del día delas sesiones del Pleno.
001100;91216;01;C;Presidir la Junta de Portavoces del Pleno
001100;91216;01;D;Inadmitir y modificar la calificación de las iniciativas en lossupuestos previstos en el Reglamento Orgánico del Pleno.
001100;91216;01;E;Cumplir y hacer cumplir el Reglamento Orgánico del Pleno,interpretándolo en caso de duda y supliéndolo en caso de omisió
001100;91216;02;A;Erección de memorial en espacio público en reconocimiento y homenaje dela corporación a las víctimas que sufrieron el ho
001100;91230;01;A;Elaboración y remisión de convocatorias y de órdenes del día
001100;91230;01;B;Tratamiento, custodia y exposición de expedientes sometidos a sesión.
001100;91230;01;C;Asistencia al Secretario General del Pleno y  de las Comisiones duranteel desarrollo de las sesiones
001100;91230;01;D;Grabación y transcripción de las intervenciones efectuadasdurante las sesiones
001100;91230;01;E;Elaboración y distribución de dictámenes, diligencias de votación,diarios de sesiones y actas
001100;91230;01;F;Retransmisión de las sesiones de las Comisiones del Pleno
001100;91230;01;G;Retransmisión sesiones del Pleno
001100;91230;02;A;Recopilación y depuración de la información susceptible de ser ofrecidaa través de la página Web del Ayuntamiento
001100;91230;02;B;Gestión y mantenimiento de la información mediante las herramientasinformáticas específicas de unidad gestora Web
001100;91230;02;C;Generación y publicación de edictos referidos a las sesiones del Pleno yComisiones
001100;91230;03;A;Anotaciones de nuevos asientos en el Registro del Pleno, RegistrodeDistinciones Honoríficas, Registro de causas de posi
001100;91230;03;B;Digitalización y asociación de documentos correspondientes acadaasiento.
001100;91230;04;A;Coordinación en la elaboración del presupuesto entre las distintasunidades de la sección
001100;91230;04;B;Tramitación de los expedientes administrativos para el suministro dematerial de oficina e informático a través del proce
001100;91230;04;C;Tramitación de contratos administrativos.
001100;91230;04;D;Gestión y realización de expedientes de gasto.
001100;91230;04;E;Gestión del personal adscrito a la Presidencia del Pleno (propuestas ymodificaciones de RPT y cobertura vacantes, IT y s
001100;91230;05;A;Supervisión y seguimiento de la ejecución  de los contratos de mantenimiento integral y de limpieza del edificio sede de
001100;91230;05;B;Supervisión y seguimiento de la ejecución  de los contratos de mantenimiento de aparatos elevadores e instalaciones elec
001100;91230;05;C;Supervisión y seguimiento de contratos de instalación y mantenimiento de equipos desfibriladores
001100;91230;05;D;Supervisión y seguimiento del contrato de restauración para las sesiones del Pleno
001100;91240;01;A;Tramitación de los expedientes administrativos para el suministro dematerial de oficina e informático a través del proce
001100;91240;01;B;Gestión y realización de expedientes de gasto
001100;91240;01;C;Poner a disposición de los distintos Grupos Políticos la dotacióneconómica establecida en el Reglamento Orgánico del Ple
001100;91240;02;A;Supervisión y seguimiento de la ejecución  de los contratos de mantenimiento integral y de limpieza del edificio sede de
001100;91240;02;B;Supervisión y seguimiento de la ejecución de los contratos demantenimiento de aparatos elevadores e instalaciones electr
001100;91240;02;C;Supervisión y seguimiento de contratos de instalación y mantenimiento deequipos desfibriladores
001101;91201;01;A;Impulsar la política municipal
001101;91201;01;B;Dirigir la acción de los demás órganos ejecutivos del Ayuntamiento
001101;91201;01;C;Ejercer la superior dirección de la Administración Municipal
001101;91201;01;D;Responder ante el Pleno de la gestión política de la Alcaldía
001102;49102;01;A;Analizar, plantear, presentar y hacer el seguimiento de proyectos significativos para la transformación digital buscando
001102;49102;01;B;Incrementar la comunicación y divulgación de la estrategia de transformación digital del Ayuntamiento
001102;49102;01;C;Fomentar la comunicación con todos los agentes funcionales del Ayuntamiento (Áreas, distritos, organismo y empresas públ
001102;49102;01;D;Diseñar los itinerarios formativos para cubrir las necesidades de capacitación digital avanzadas que permitan consolidar
001102;49102;01;E;Promover la colaboración público-privada para la cocreación de servicios innovadores que demanda la ciudadanía, divulgan
001102;49102;02;A;Desarrollar la Estrategia de Datos del Ayuntamiento de Madrid y sus organismos públicos
001102;49102;02;B;Inventariar las iniciativas, conjuntos de datos y cuadros de mando más representativos de las distintas Áreas de Gobiern
001102;49102;02;C;Establecer y potenciar la interlocución entre responsables en el ámbito de la gestión, visualización y analítica de dato
001102;49102;02;D;Desarrollar y evolucionar el Cuadro de Mando de Administración Digital a través del que se posibilitará el desempeño del
001102;49102;02;E;Fomentar el desarrollo de nuevos proyectos de analítica y visualización de datos y la difusión, tanto a nivel interno, c
001102;49102;03;A;Finalizar el plan de choque e iniciar la estrategia de administración digital 2022-2025
001102;49102;03;B;Impulsar el plan de Mejora de la digitalización de la gestión de procedimientos administrativos
001102;49102;03;C;Incrementar el uso de la notificación electrónica en el Ayuntamiento
001102;49102;03;D;Impulsar el uso la certificación electrónica a través Plataforma de Intermediación de Datos
001102;49102;03;E;"Mejorar del uso de la Sede Electrónica y carpeta ciudadana ""Mi Carpeta"", incluyendo su versión en móviles"
001102;49102;03;F;Impulsar la utilización del Registro Electrónico General
001102;49102;03;G;Estudiar y revisar formularios y procedimientos para su incorporarlos como servicios electrónicos a la Sede Electrónica
001102;49102;03;H;Analizar la información de los tramitadores de expedientes del ayuntamiento, incrementando su automatización y reduciend
001102;49102;03;I;Divulgar los servicios de administración electrónica en la ciudadanía
001102;49102;03;J;Elaborar normativa, instrucciones e informes sobre administración electrónica y tramitación de expedientes
001102;49102;03;K;Informar y asesorar a gestores y ciudadanía en materia de administración digital
001102;49102;03;L;"Desarrollar mejoras y nuevos servicios de la Intranet municipal ""Ayre”"
001102;91202;01;A;Proporcionar al Alcalde la información política y técnica que resulte necesaria para el ejercicio de sus funciones
001102;91202;01;B;Asesorar al Alcalde en aquellos asuntos y materias que requiera
001102;91202;01;C;Facilitar al Alcalde la coordinación de la acción del Gobierno municipal mediante la interlocución con los gabinetes de
001102;91202;01;D;Coordinar la agenda del Alcalde
001102;91202;01;E;Tramitar, gestionar y contestar a las comunicaciones, peticiones o escritos dirigidos al Alcalde
001102;92002;01;A;Realización de estudios en materias relacionadas con la organización municipal y los procesos de reorganización administ
001102;92002;01;B;Realización de estudios de las estructuras organizativas de la administración municipal con el objetivo de su racionaliz
001102;92002;01;C;Emisión de informes en materia organizativa y competencial
001102;92002;01;D;Elaboración de propuestas de disposiciones de carácter organizativo
001102;92002;02;A;Elaboración de propuestas de mejora de la normativa municipal
001102;92002;02;B;Elaboración de propuestas de simplificación administrativa y racionalización de procedimientos
001102;92002;02;C;Realización de estudios y análisis jurídicos de los proyectos de disposiciones y acuerdos de competencias
001102;92002;02;D;Realización de estudios y análisis jurídicos en materias relativas al gobierno y la administración local
001102;92002;02;E;Seguimiento de las disposiciones normativas del Estado y de la Comunidad de Madrid que incidan en el régimen jurídico de
001102;92002;02;F;Seguimiento de los procesos de transferencia de competencias que puedan desarrollarse por el Estado o la Comunidad de Ma
001102;92009;01;A;Representación y defensa en juicio del Ayuntamiento y sus OrganismosPúblicos ante cualesquiera jurisdicciones y órdenes
001102;92009;01;B;Representación y defensa en juicio de los concejales, autoridades,funcionarios y empleados por hechos relacionados con e
001102;92009;01;C;"Emisión de informes preceptivos a los proyectos de disposiciones decarácter general y estatutos; convenios; pliegos cont"
001102;92009;01;D;Emisión de informes facultativos sobre cuestiones jurídicas
001102;92009;01;E;Bastanteo de los poderes para actuar que presenten los particulares anteel Ayuntamiento o sus Organismos Públicos
001102;92009;01;F;"Emisión de informe a los acuerdos sobre ejercicio de accionesjudiciales; a las propuestas de resolución en los procedimi"
001102;92012;01;A;Organización interna y logística de los recursos humanos de la Alcaldía y Coordinación General de la Alcaldía
001102;92012;01;B;Elaboración de propuestas de relación de puestos de trabajo
001102;92012;01;C;Tramitación de los expedientes para la cobertura de vacantes, (concursos, libres designaciones, comisiones de servicio e
001102;92012;01;D;Participación en comisiones de valoración de concursos de méritos y tribunales de oposición
001102;92012;01;E;Gestión del complemento de productividad y de los planes especiales de productividad en el ámbito de la Alcaldía y la Co
001102;92012;01;F;Tramitación de expedientes de concesión de flexibilización horaria por tener a cargo un hijo menor de 13 años o persona
001102;92012;01;G;Control del cumplimiento del horario de trabajo
001102;92012;01;H;Gestión de la tarjeta corporativa
001102;92012;01;I;Organización de los servicios de traslado de documentación, de la mesa de reparto del correo de Cibeles y del servicio d
001102;92012;01;J;Coordinación y seguimiento del Plan de Formación en el ámbito de laAlcaldía y Coordinación General de la Alcaldía
001102;92012;02;A;Análisis, elaboración, tramitación y seguimiento de los expedientes de contratación gestionados por la Coordinación Gene
001102;92012;02;B;Asistencia a las Mesas de Contratación de los contratos gestionados porla Coordinación General de la Alcaldía
001102;92012;02;C;Asesoramiento y coordinación a los distintos órganos o unidades en laadecuada elaboración de las propuestas de contratac
001102;92012;02;D;Impulso de los trámites, competencia de otros órganos o unidades, con elfin de agilizar y reducir el tiempo de tramitaci
001102;92012;02;E;Tramitación y revisión de los expedientes de contratos menores yseguimiento de los mismos
001102;92012;02;F;Tramitación de la devolución de las garantias definitivas
001102;92012;03;A;Redacción de los Pliegos de Claúsulas Administrativas Particulares
001102;92012;04;A;Elaboración de pliegos de contratación incluyendo la obligación de los adjudicatarios de suministrar información sobre n
001102;92012;05;A;Elaboración de la propuesta anual de presupuestos de la Alcaldía y de la Coordinación General de la Alcaldía
001102;92012;05;B;Seguimiento y evaluación de la ejecución del Presupuesto de gastos e ingresos mediante la elaboración de informes de est
001102;92012;05;C;Tramitación de las modificaciones presupuestarias, creación deaplicaciones presupuestarias y altas de proyectos de inver
001102;92012;05;D;Elaboración y tramitación de documentos contables que se requieran por la Coordinación General de la Alcaldía.
001102;92012;05;E;Impulso y seguimiento de los trámites, competencia de otros órganos o unidades, con el fin de agilizar el pago de las fa
001102;92012;05;F;Gestión de los anticipos de caja fija, pago directo a terceros, depósitos a personal municipal y las correspondientes re
001102;92012;05;G;Elaboración de los documentos de ingreso de expedientes de reintegro de subvenciones y de la liquidación de precios públ
001102;92012;05;H;Tramitación de otros expedientes de gestión presupuestaria (aportaciones a empresas y organismos públicos, reconocimient
001102;92012;05;I;Seguimiento y control de los expedientes de subvenciones hasta la fase de justificación y posibles reintegros
001102;92012;06;A;Promoción de los expedientes de contratación de bienes y servicios en materia de régimen interior (seguridad, limpieza,
001102;92012;06;B;Tramitación de los expedientes de gastos de comunidad de los edificios adscritos
001102;92012;06;C;Verificación técnica de los edificios adcritos a la Coordinación General de la Alcaldía
001102;92012;06;D;Propuestas de adquisición de suministros y de realización de servicios de carácter técnico
001102;92012;06;E;Tramitación de certificaciones y facturas de gasto correspondientes a contratos de obras, servicios y suministros
001102;92012;06;F;Tramitación de expedientes de contratación de gestión centralizada
001102;92012;06;G;Planificación y coordinación de los servicios del taller de montaje de actos públicos
001102;92012;06;H;Mediciones, traslados y estudios de proyectos de ocupación de espacios
