CeGe;Prog. Finan.;Objetivo;Actividad por Objetivo;Descripción Actividades
001011;92701;01;A;Organización de actos públicos y ruedas de prensa con los medios de
001011;92701;01;B;Emisión de comunicados y notas de prensa
001011;92701;01;C;Cobertura de eventos locales
001011;92701;01;D;Elaboración de notas de prensa
001011;92701;01;E;Difusion de la agenda de actividades municipales
001011;92701;01;F;Informacion de trafico de la ciudad
001011;92701;01;G;Emergencias Madrid
001011;92701;02;A;Elaboracion y distribucion del resumen de prensa
001011;92701;02;B;Actualizacion permanente de la pagina web en relacion con la actividad
001011;92701;02;C;Conservacion y actualizacion del archivo fotografico
001011;92701;02;D;Conservacion y actualizacion del archivo audiovisual
001011;92701;03;A;Supervision diaria de las campañas informativas en lo relativo a la
001011;92701;03;B;Asesoramiento respecto a la utilizacion de la imagen corporativa en los
001011;92701;03;C;Realizacion de soportes graficos para actos institucionales
001011;92701;03;D;Edicion y diseño de la agenda institucional
001012;34102;01;A;ORGANIZACIÓN DEL CIRCUITO DE AEROBIC Y FITNESS
001012;34102;01;B;ORGANIZACIÓN DE JORNADAS DE PROMOCIÓN DEPORTIVA PARA DISCAPACITADOS
001012;34102;01;C;"ORGANIZACIÓN DEL PROGRAMA ""CAMINAR POR MADRID"""
001012;34102;01;D;ORGANIZACIÓN DE LAS JORNADAS TÉCNICAS DIVULGATIVAS PARA MAYORES
001012;34102;01;E;ORGANIZACIÓN DEL ENCUENTRO DEPORTIVO PARA MAYORES
001012;34102;01;F;ORGANIZACIÓN DE LA SEMANA DE LA MUJER DEPORTISTA
001012;34102;01;G;COLABORACIÓN CON LA FUNDACIÓN ESPAÑOLA DEL CORAZÓN (SEMANA DEL CORAZÓN)
001012;34102;01;H;ORGANIZACIÓN DEL FESTIVAL JOAQUÍN ROSADO
001012;34102;01;I;"ORGANIZACIÓN DEL PROGRAMA ""MADRID SOBRE RUEDAS"""
001012;34102;02;A;PROGRAMACIÓN Y DESARROLLO DE LAS ESCUELAS DE PROMOCIÓN DEPORTIVA
001012;34102;02;B;PROGRAMACIÓN Y DESARROLLO DE LAS ESCUELAS EN COLABORACIÓN CON ENTIDADES
001012;34102;03;A;ORGANIZACIÓN Y DESARROLLO DE LAS ÁULAS DEPORTIVAS MUNICIPALES
001012;34102;03;B;ORGANIZACIÓN DE ACTIVIDADES DE PROMOCIÓN DEPORTIVA EN CENTROS ESCOLARES
001012;34102;03;C;ORGANIZACIÓN DE ESCOLIMPIA
001012;34102;04;A;ORGANIZACIÓN DE LOS JUEGOS DEPORTIVOS MUNICIPALES
001012;34102;04;B;ORGANIZACIÓN DE LOS TORNEOS DE NAVIDAD Y PRIMAVERA
001012;34102;04;C;ORGANIZACIÓN DE LOS TORNEOS MUNICIPALES
001012;34102;04;D;PARTICIPACIÓN EN LOS ENCUENTROS DEPORTIVOS INTERCIUDADES
001012;34102;05;A;CONVOCATORIA DE SUBVENCIONES A ENTIDADES DEPORTIVAS DEL MUNICIPIO
001012;34102;05;B;CONVOCATORIA DE SUBVENCIONES PARA ACTOS DEPORTIVOS EN EL MUNICIPIO
001012;34102;06;A;ORGANIZACIÓN DEL PROGRAMA DE ACTIVIDADES EN LA NIEVE Y NATURALEZA
001012;34102;06;B;ORGANIZACIÓN DEL CIRCUITO DEPORTIVO FAMILIAR EN BICICLETA
001012;34102;07;A;CONVENIOS DE COLABORACIÓN PARA CREACIÓN DE ESCUELAS DEPORTE ADAPTADO
001012;34102;08;A;MARCAJE DE PISTAS POLIDEPORTIVAS EN CENTROS ESCOLARES
001012;34102;09;A;MANTENIMIENTO, GESTIÓN Y FORMACIÓN DE COLUMNAS DE RESCATE CARDIACO
001012;34102;10;A;TRABAJOS PARA LA DIFUSIÓN DE LOS PROGRAMAS DEPORTIVOS
001012;34102;10;B;ORGANIZACIÓN Y ASISTENCIA TÉCNICA DE LOS EVENTOS INSTITUCIONALES
001012;34102;10;C;TRABAJOS PARA ELABORACIÓN DE SOPORTES INFORMATIVOS Y DIVULGATIVOS
001012;34102;10;D;ELABORACIÓN DEL BOLETÍN ELECTRÓNICO DE LA DIRECCIÓN GNRAL DE DEPORTES
001012;34102;11;A;GESTIÓN DEL SISTEMA DE VENTA DE SERVICIOS EN LOS CENTROS DEPORTIVOS
001012;34102;11;B;PLANIFICACIÓN, GESTIÓN Y CONTROL DE LOS MEDIOS DE PAGO
001012;34102;12;A;CELEBRACIÓN DE EVENTOS DEPORTIVOS DE RELEVANCIA NACIONAL E INTERNACIONAL
001012;91100;01;A;Grabación digital de imagen y sonido de las sesiones de las Comisiones del Pleno
001012;91100;02;A;Recopilación y depuración de la información susceptible de ser ofrecida a través de la página web del Ayuntamiento
001012;91100;02;B;Gestión y mantenimiento de la información mediante las herramientas informáticas específicas de unidad gestora web
001012;91100;02;C;Estudio y análisis para la incorporación de nuevos contenidos de información
001012;91100;02;D;Generación y publicación de edictos referidos a las sesiones del Pleno y
001012;91100;03;A;Suministro de información a los miembros de la nueva Corporación
001012;91100;03;B;Documentos o archivos digitales que se entregan a los Concejales
001012;91100;03;C;Gestión de los documentos aportados por los Concejales
001012;91100;03;D;Agilización de las relaciones con la Junta Electoral
001012;91100;03;E;Supervisión del sorteo de constitución de Mesas Electorales
001012;91101;01;A;Seguimiento de la ejecución presupuestaria
001012;91101;01;B;Información sobre el estado de ejecución
001012;91101;01;C;Tramitación de los expedientes de contratación y de los expedientes de
001012;91200;01;A;Gestión y mantenimiento de la información publicada en la web sobre los
001012;91200;01;B;Información a través de la web del periodo de información pública de los
001012;91200;01;C;Seguimiento de la publicación y difusión de los acuerdos.
001012;91200;02;A;Informatización de los convenios incorporados al Registro de Convenios y
001012;91200;02;B;Escaneo de documentos.
001012;91200;02;C;Seguimiento de las publicaciones que efectúan las Areas de Gobierno de
001012;91200;03;A;Incorporación de decretos del Alcalde y de los óganos unipersonales del
001012;91200;03;B;Expedición de certificaciones y copias auténticas.
001012;92000;01;A;CONSTITUCION DE UN GRUPO DE TRABAJO
001012;92000;01;B;ANALISIS DE LAS NECESIDADES Y DEL PROCEDIMIENTO
001012;92000;01;C;ELABORACION DE UN PLAN DE TRABAJO
001012;92000;01;D;DISEÑO DEL PROCEDIMIENTO
001012;92000;01;E;VALIDACION DEL PROCEDIMIENTO
001012;92000;01;F;IMPLANTACION DEL PROCEDIMIENTO
001012;92000;02;A;ELABORACION DE PROPUESTAS DE RELACION DE PUESTOS DE TRABAJO, TRAMITACION
001012;92000;02;B;COORDINACIÓN Y SEGUIMIENTO DEL PLAN DE FORMACIÓN EN EL ÁMBITO DEL ÁREA
001012;92000;02;C;GESTIÓN Y ORGANIZACIÓN INTERNA, LOGÍSTICA Y RÉGIMEN INTERIOR
001012;92000;02;D;COORDINACIÓN DE LA ADQUISICIÓN DE LIBROS Y REVISTAS FACILITANDO LA
001012;92000;02;E;COORDINACIÓN DE LA GESTIÓN Y DIFUSIÓN DE LA INFORMACIÓN CON Y ENTRE
001012;92000;03;A;ESTUDIO Y TRAMITACIÓN DE EXPEDIENTES DE CONTRATACIÓN
001012;92000;03;B;TRAMITACIÓN Y SEGUIMIENTO DE LOS EXPEDIENTES DE GASTO, MODIFICACIONES
001012;92000;03;C;SEGUIMIENTO DE LA EJECUCIÓN PRESUPUESTARIA
001012;92000;03;D;COORDINACIÓN Y ESTUDIO DE LOS ACUERDOS QUE SE ELEVAN A LA JUNTA DE
001012;92000;03;E;APOYO A LA SECRETARÍA DE LA COMISIÓN PREVIA A LA JUNTA DE GOBIERNO
001012;92000;03;F;HABILITACIÓN DE PAGOS A TRAVÉS DE LOS ANTICIPOS DE CAJA FIJA Y PAGOS A
001012;92009;01;A;PONER EN MARCHA CAMBIOS GLOBALES DE PLANTEAMIENTOS ORGANIZATIVOS QUE
001012;92009;01;B;ADECUAR Y ACTUALIZAR FUNCIONES Y REQUISITOS DE DETERMINADOS PUESTOS DE
001012;92201;01;A;.
001013;92202;01;A;Elaboración de documentos de unificación de criterios técnicos y
001013;92202;01;B;Convocatoria y organización de reuniones de coordinación de información,
001013;92202;01;C;Desarrollo de aplicaciones para la gestión y tratamiento de la
001013;92202;01;D;Información, asesoramiento y soporte telefónico y vía correo
001013;92202;02;A;Reuniones con otros órganos para la planificación y diseño de los
001013;92202;02;B;Participación y emisión de informes en los procesos de elaboración de
001013;92202;02;C;Realización de estudios y tomas de información en materia de distritos.
001013;92202;02;D;Participación en comisiones y grupos de trabajo.
001013;92202;02;E;Colaboración en el desarrollo de aplicaciones informáticas gestionadas
001013;92202;03;A;Tramitación de expedientes y de propuestas para su aprobación por otros
001013;92202;03;B;Gestión del tablón de edictos electrónicos.
001013;92202;03;C;Supervisión, centralización y gestión de las memorias de cumplimiento
001013;92202;03;D;Gestión de peticiones que afecten a los distritos derivadas del derecho
001013;92202;03;E;Tramitación de propuestas de los distritos en materia de personal
001013;92202;04;A;Inserción de la programación cultural de los distritos en los medios de
001013;92202;05;A;Impartir cursos de formación al personal de los distritos.
001013;92202;05;B;Establecer los programas, ponentes, lugares y fechas de celebración de
001013;92202;05;C;Seleccionar y proponer los asistentes a los cursos así como organizar
