CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001002;91230;01;01;Sesiones del Pleno;NÚMERO;30;35
001002;91230;01;02;Sesiones de las Comisiones del Pleno;NÚMERO;110;118
001002;91230;02;01;Actualización de la información;NÚMERO;1000;1547
001002;91230;02;02;Documentos accesibles a través de la Web;NÚMERO;6000;5960
001002;91230;03;01;Asientos de entrada en el Registro del Pleno;NÚMERO;1600;2146
001002;91230;03;02;Asientos de salida en el Registro del Pleno;NÚMERO;1500;1573
001002;91230;03;03;Incorporación de documentación asociada a los asientos del Registro del Pleno;NÚMERO;3100;3719
001002;91230;03;04;Anotaciones de Distinciones Concedidas en el Registro de Distinciones Honoríficas;NÚMERO;12;4
001002;91230;03;05;Incorporación de documentación asociada a los asientos del Registro de Distinciones Honoríficas;NÚMERO;24;34
001002;91230;03;06;Anotaciones en el Registro de Bienes Patrimoniales de los Concejales;NÚMERO;15;74
001002;91230;03;07;Anotaciones en el Registro de causas de posible incompatibilidad y de actividades de los Concejales;NÚMERO;15;66
001002;91230;04;01;Contratos tramitados por procedimiento abierto;NÚMERO;5;4
001002;91230;04;02;Contratos tramitados por procedimiento negociado;NÚMERO;2;0
001002;91230;04;03;Contratos menores tramitados;NÚMERO;60;41
001002;91230;04;04;Documentos contables realizados;NÚMERO;250;252
001002;91230;04;05;Actuaciones en materia de gestión de personal;NÚMERO;70;70
001002;91230;05;04;Instalaciones de elementos de control de acceso y seguridad;NÚMERO;144;144
001002;91230;05;03;Instalaciones de elementos de control de objetos y personas;NÚMERO;2;2
001002;91230;05;02;Instalaciones de elevación y electromecánicas con mantenimiento;NÚMERO;9;9
001002;91230;05;01;Edificio con mantenimiento integral y limpieza sede de la Presidencia del Pleno;NÚMERO;1;1
001002;91230;06;01;Ejecución de los planes de autoprotección implantados;NÚMERO;2;2
001002;91240;01;01;Contratos tramitados por procedimiento abierto;NÚMERO;3;3
001002;91240;01;02;Contratos tramitados por procedimiento negociado;NÚMERO;1;0
001002;91240;01;03;Contratos menores tramitados;NÚMERO;80;22
001002;91240;01;04;Documentos contables realizados;NÚMERO;190;186
001002;91240;02;04;Instalaciones de elementos de control de acceso y seguridad;NÚMERO;30;30
001002;91240;02;03;Instalaciones de elementos de control de objetos y personas;NÚMERO;2;2
001002;91240;02;02;Instalaciones de elevación y electromecánicas con mantenimiento;NÚMERO;2;2
001002;91240;02;01;Edificio con mantenimiento integral y limpieza adscrito a los Grupos Políticos Municipales;NÚMERO;1;1
001012;23290;01;01;Programas cofinanciados por fondos europeos;NÚMERO;5;3
001012;23290;01;02;Tramitación de certificación de gastos;NÚMERO;5;4
001012;23290;01;03;Verificaciones administrativas e in situ;NÚMERO;32;58
001012;23290;01;04;Asesoramientos individualizados para nuevas ayudas;NÚMERO;10;12
001012;23290;02;01;Convenio con entidad privada sin ánimo de lucro;NÚMERO;1;2
001012;23290;03;01;Convenios firmados en materia de ayuda humanitaria y de emergencia;NÚMERO;1;1
001012;23290;03;02;Reuniones asesoría y seguimiento con la Entidad;NÚMERO;4;4
001012;46200;01;01;Eventos de innovación abierta en la ciudad de Madrid;NÚMERO;40;234
001012;46200;01;02;Acciones de innovación con grandes empresas;NÚMERO;4;6
001012;46200;01;03;Apoyo a las startups innovadoras en el Madrid International LAB;NÚMERO;50;62
001012;46200;02;03;Entidades innovadoras, públicas o privadas, atendidas;NÚMERO;30;24
001012;46200;02;02;Eventos de difusión de la innovación para pymes;NÚMERO;30;7
001012;46200;02;01;Acciones de impulso al Sello Pyme Innovadora;NÚMERO;4;1
001012;46200;03;01;Estudio de necesidades estratégicas sobre compra pública innovadora para la ciudad de Madrid;NÚMERO;1;1
001012;46200;03;02;Vinculación a las redes nacionales e internacionales orientadas a la compra publica innovadora;NÚMERO;2;4
001012;46200;03;03;Desarrollo, adaptación y puesta en funcionamiento de la estrategia de compra pública innovadora del ayuntamiento;NÚMERO;1;2
001012;46200;04;01;Plan de implantación de la estrategia de Madrid Ciudad Inteligente;NÚMERO;1;1
001012;46200;04;02;Colaboración con empresas que desarrollan actuaciones relacionadas con la ciudad inteligente;NÚMERO;4;4
001012;46200;04;03;Acciones de apoyo a startups que trabajan en el ámbito de las ciudades inteligentes;NÚMERO;10;22
001012;46200;04;04;Fomento de las redes de ciudades inteligentes;NÚMERO;2;15
001012;91202;01;01;Actos de naturaleza oficial;NÚMERO;600;510
001012;91202;01;02;Atenciones protocolarias y representativas;NÚMERO;800;842
001012;91202;02;01; Peticiones del Defensor del Pueblo tramitadas;NÚMERO;325;206
001012;91202;02;02;Solicitudes de dictamen del Consejo Consultivo de la Comunidad de Madrid;NÚMERO;205;89
001012;91202;02;03;Observaciones sobre procedimientos remitidas a la Comisión Europea;NÚMERO;2;0
001012;91202;02;04;Comisión de peticiones del Senado;NÚMERO;5;1
001012;92207;01;01;PARTICIPACIÓN EN ATIVIDADES DE INSTITUCIONES DE LA UE;NÚMERO;2;2
001012;92207;01;02;PARTICIPACIÓN EN ORGANISMOS Y ASOCIACIONES INTERNACIONALES Y NACIONALES;NÚMERO;17;18
001012;92207;01;03;PARTICIPACIÓN EN FOROS Y REUNIONES INTERNACIONALES Y NACIONALES;NÚMERO;10;19
001012;92207;01;04;CELEBRACIÓN DE ENCUENTROS Y REUNIONES INTERNACIONALES EN MAD;NÚMERO;2;3
001012;92207;02;01;REALIZACIÓN DE PROGRAMAS DE TRABAJO PARA DELEGACIONES OFICIALES;NÚMERO;35;57
001012;92207;02;02;VISITAS INSTITUCIONALES;NÚMERO;4;20
001012;92207;02;03;ACTIVIDADES DERIVADAS DE ACUERDOS EXISTENTES CON OTRAS CIUDADES;NÚMERO;10;3
001012;92402;01;01;Asesoramiento a las Áreas de Gobierno;NÚMERO;7;32
001012;92402;01;02;Empresas que participan en proyectos asesorados por la Subdirección General de Promoción Internacional y Participación E;NÚMERO;40;48
001012;92402;01;03;Proyectos de auditoria y nuevo modelo comercial global;NÚMERO;1;1
001012;92402;01;04;Programas de patrocinio 'llave en mano';NÚMERO;6;6
001012;92402;01;05;Herramientas puestas a disposición de las Áreas para incentivar la participación empresarial;NÚMERO;2;2
001012;92402;01;06;Empresas que se adhieren al Foro de Empresas por Madrid;NÚMERO;25;28
001012;92402;02;05;Plan de comunicación del catálogo de buenas prácticas empresariales para la proyección internacional de Madrid y del;NÚMERO;1;1
001012;92402;02;04;Plan de promoción internacional en Embajadas y organismos internacionales;NÚMERO;1;1
001012;92402;02;03;Memoria de promoción internacional;NÚMERO;1;1
001012;92402;02;02;Newsletter internacional;NÚMERO;4;6
001012;92402;02;01;Plan Estratégico de Posicionamiento Internacional;NÚMERO;1;1
001016;22101;01;01;Mensajes de correo electrónico enviados con ocasión de la gestión de la acción social;NÚMERO;6000;7147
001016;22101;01;02;Mensajes por SMS enviados con ocasión de la gestión de la acción social;NÚMERO;250000;290501
001016;22101;01;03;Inserciones en los distintos canales de la intranet Ayre con ocasión de la gestión de la acción social;NÚMERO;350;709
001016;22101;01;04;Usos del Programa Aventaja por el personal municipal;NÚMERO;8000;7254
001016;22101;01;05;Reclamaciones y recursos resueltos en materia de acción social de empleados;NÚMERO;300;456
001016;22101;02;01;Ayudas de acción social gestionadas;NÚMERO;100000;89250
001016;22101;02;02;Reuniones órganos de desarrollo y seguimiento;NÚMERO;4;5
001016;22101;02;03;Reuniones Comisión Control Plan de Pensiones;NÚMERO;2;2
001016;22102;01;03;CAPTACIÓN DE DATOS GRÁFICOS PARA LA TARJETA CORPORATIVA;NÚMERO;480;1324
001016;22102;01;02;CONCESIÓN DE PREMIO ESPECIAL POR ANTIGÜEDAD;NÚMERO;450;684
001016;22102;01;01;CONCESIÓN DE PREMIOS POR AÑOS DE SERVICIO;NÚMERO;1000;1652
001016;92000;01;01;Expedientes de provisión de puestos de trabajo;NÚMERO;100;216
001016;92000;01;02;Relaciones de puestos de trabajo elaboradas;NÚMERO;15;38
001016;92000;01;03;Expedientes de tramitación de situaciones administrativas, permisos, y licencias;NÚMERO;45;64
001016;92000;02;01;Expedientes de contratación;NÚMERO;40;22
001016;92000;02;02;Tramitación contratos menores;NÚMERO;75;189
001016;92000;02;03;Documentos contables elaborados;NÚMERO;1400;915
001016;92000;02;04;Expedientes de gestión presupuestaria;NÚMERO;50;120
001016;92000;03;05;Actuaciones de régimen interior;NÚMERO;997;3468
001016;92000;03;04;Montaje de actos públicos;NÚMERO;396;360
001016;92000;03;03;Contratos gestionados a través del sistema de compras centralizadas;NÚMERO;88;78
001016;92000;03;02;Pliegos de prescripciones técnicas de contratos elaborados;NÚMERO;16;16
001016;92000;03;01;Mantenimiento de los edificios adscritos;M2;25597;28047
001016;92000;04;01;Informes jurídicos;NÚMERO;45;118
001016;92000;04;02;Expedientes de subvenciones y convenios;NÚMERO;30;86
001016;92000;04;03;Acuerdos de Junta de Gobierno y de Pleno;NÚMERO;20;105
001016;92000;04;04;Inscripciones Libro Resoluciones;NÚMERO;14000;13735
001016;92000;04;05;Publicaciones en Tablón y Boletines;NÚMERO;1300;1061
001016;92000;05;01;Entradas de registro;NÚMERO;76000;73678
001016;92000;05;02;Salidas de registro;NÚMERO;10000;2114
001016;92002;01;01;ESTUDIOS;NÚMERO;50;96
001016;92002;01;02;INFORMES;NÚMERO;60;213
001016;92002;01;03;PROPUESTAS;NÚMERO;15;134
001016;92002;02;01;ESTUDIOS Y ANÁLISIS;NÚMERO;50;64
001016;92002;02;02;ELABORACIÓN DE PROPUESTAS;NÚMERO;15;62
001016;92002;03;01;EXPEDIENTES INICIADOS;NÚMERO;1800;2079
001016;92002;03;02;EXPEDIENTES RESUELTOS;NÚMERO;2000;2287
001016;92002;03;03;RECURSOS RESUELTOS;NÚMERO;150;115
001016;92004;01;08;EVALUACIÓN TOTAL DEL 1 AL 5 DE LA ACTIVIDAD FORMATIVA;NÚMERO;4;4
001016;92004;01;07;ACUERDOS FIRMADOS CON INSTITUCIONES;NÚMERO;2;2
001016;92004;01;06;ALUMNOS CONVOCADOS;NÚMERO;12100;19371
001016;92004;01;05;FORMADORES (INTERNOS, EXTERNOS Y EMPRESAS);NÚMERO;650;1179
001016;92004;01;04;HORAS DE FORMACIÓN POR EDICION;NÚMERO;11500;10111
001016;92004;01;03;EDICIONES;NÚMERO;650;635
001016;92004;01;02;ACCIONES FORMATIVAS;NÚMERO;300;340
001016;92004;01;01;NUEVAS ACCIONES FORMATIVAS DETECTADAS;NÚMERO;60;116
001016;92004;02;01;ALUMNOS CONVOCADOS;NÚMERO;3500;9396
001016;92004;02;02;HORAS DE FORMACIÓN IMPARTIDAS POR ALUMNO;NÚMERO;52500;14051934
001016;92004;03;01;SESIONES DE GRUPOS DE TRABAJO;NÚMERO;3;11
001016;92004;03;02;CONVENIOS Y OTROS INSTRUMENTOS DE COLABORACIÓN;NÚMERO;1;1
001016;92004;03;03;ELABORACIÓN DE DOCUMENTOS DE TRABAJO Y PUBLICACIONES;NÚMERO;4;4
