Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;;
;;001;100;91216;60900;2024/000057;2024/000057;BIENES PATRIMONIO HISTÓRICO ARTÍSTICO PRESIDENCIA DEL PLENO, PZA. DE LA VILLA, 4;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;14000,00;-14000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91216;60900;2024/000057;2024/020057;EDIFICIO PLAZA DE LA VILLA, 4. CUADROS RETRATOS DE REGIDORES DEL AYUNTAMIENTO DE MADRID;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;0,00;13200,00;13200,00;0,00;0,00;13200,00;13200,00;13200,00;0,00;13200,00;;
;;001;100;91216;61900;2024/000057;2024/000057;BIENES PATRIMONIO HISTÓRICO ARTÍSTICO PRESIDENCIA DEL PLENO, PZA. DE LA VILLA, 4;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;13000,00;-12752,00;248,00;248,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91216;61900;2024/000057;2024/010057;EDIFICIO PLAZA DE LA VILLA, 4. RESTAURACIÓN DE LÁMPARAS, FAROLES Y OTROS BIENES;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;0,00;13552,00;13552,00;0,00;0,00;13552,00;13552,00;13552,00;0,00;13552,00;;
;;001;100;91230;62302;2024/000056;2024/000056;SERVICIOS SECRETARÍA GENERAL DEL PLENO. ELEMENTOS COMUNICACION Y TRANSCRIPCIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000,00;0,00;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91230;62500;2024/000017;2024/000017;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000,00;0,00;4000,00;4000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91230;62599;2024/000017;2024/000017;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000,00;0,00;4000,00;3874,86;0,00;125,14;125,14;125,14;0,00;125,14;;
;;001;100;91230;62901;2024/000137;2024/000137;SECRETARIA GENERAL DEL PLENO. SEÑALIZACION;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000,00;0,00;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91230;63200;2024/001223;2024/001223;EDIFICIO PLAZA DE LA VILLA, 4. OBRAS DE ADECUACIÓN DE CLIMATIZACIÓN;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;16000,00;16000,00;16000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91230;63600;2024/000056;2024/000056;SERVICIOS SECRETARÍA GENERAL DEL PLENO. ELEMENTOS COMUNICACION Y TRANSCRIPCIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91240;62500;2024/000055;2024/000055;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS MUNCIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;100;91240;62599;2024/000055;2024/000055;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS MUNCIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000,00;0,00;4000,00;3627,32;0,00;372,68;372,68;0,00;0,00;0,00;;
;;001;100;91240;62901;2024/000135;2024/000135;SERVICIOS GRUPOS POLITICOS MUNICIPALES. SEÑALIZACION;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000,00;0,00;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;102;92012;62301;2024/000024;2024/000024;SERVICIOS COORDINACION GENERAL ALCALDIA. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;60000,00;0,00;60000,00;60000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;102;92012;62302;2024/000018;2024/000018;EQUIPAMIENTO SERVICIOS DE COORDINACION GENERAL DE LA ALCALDIA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1000,00;0,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;102;92012;62500;2024/000022;2024/000022;SERVICIOS COORDINACION GENERAL ALCALDIA. MOBILIARIO Y EQUIPOS DE OFICINA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;0,00;10000,00;8835,98;0,00;1164,02;1164,02;0,00;0,00;0,00;;
;;001;102;92012;62599;2024/000018;2024/000018;EQUIPAMIENTO SERVICIOS DE COORDINACION GENERAL DE LA ALCALDIA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;1023,29;0,00;13976,71;13976,71;1318,90;0,00;1318,90;;
;;001;102;92012;63200;2024/000023;2024/000023;EDIFICIOS COORDINACION GENERAL DE LA ALCALDIA. OBRAS DE REFORMA;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;150000,00;0,00;150000,00;150000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;102;92012;63301;2023/000026;2023/000026;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. INSTALACIONES DE SEGURIDAD Y OTRAS TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7321,00;0,00;7321,00;0,50;0,00;7320,50;7320,50;7320,50;0,00;7320,50;;
;;001;102;92012;63301;2024/000024;2024/000024;SERVICIOS COORDINACION GENERAL ALCALDIA. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7679,00;2000,00;9679,00;3341,69;0,00;6337,31;6337,31;0,00;0,00;0,00;;
;;001;102;92012;63400;2024/000025;2024/000025;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. VEHÍCULOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;95000,00;0,00;95000,00;95000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;102;92012;63500;2024/000022;2024/000022;SERVICIOS COORDINACION GENERAL ALCALDIA. MOBILIARIO Y EQUIPOS DE OFICINA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1000,00;0,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;62301;2024/001098;2024/001098;PARQUE DE BOMBEROS Nº 11. RESGUARDO EN PLATAFORMA ELEVADORA DE CARGA ZONA CUADRO DE MANDOS-BOTONERA;216;HORTALEZA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;450,00;450,00;26,50;0,00;423,50;423,50;423,50;0,00;0,00;;
;;001;120;13000;62302;2024/000046;2024/000046;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS VICEALCALDIA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;500,00;0,00;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;;
;;001;120;13000;62500;2024/000045;2024/000045;SERVICIOS ADMINISTRATIVOS VICEALCALDIA,PORTAVOZ,SEGURIDAD Y EMERGENCIAS. MOBILIARIO OFICINA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;15000,00;0,00;15000,00;9931,79;0,00;5068,21;5068,21;5068,21;0,00;5068,21;;
;;001;120;13000;62599;2024/000046;2024/000046;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS VICEALCALDIA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;12000,00;-450,00;11550,00;10255,62;0,00;1294,38;1294,38;446,44;0,00;446,44;;
;;001;120;13000;62601;2024/000046;2024/000046;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS VICEALCALDIA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;250,00;250,00;250,00;0,00;0,00;0,00;0,00;0,00;0,00;;
