Centro;Descripcion Centro;Seccion;Descripcion Seccion;Programa;Descripcion Programa;Cap.;Cap.;Economico;Descripcion Economico;CRED.INICIAL;MOD.CREDITO;C.DEFINITIVO;C.AUTORIZADO;C.DISPUESTO;OBL.RECONOC
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49101;SERVICIOS INFORMÁTICOS Y COMUNICACIONES;4;4;41002;A INFORMÁTICA AYUNTAMIENTO DE MADRID;143828605;-2704445;141124160;141124160;141124160;136532569,4
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49101;SERVICIOS INFORMÁTICOS Y COMUNICACIONES;7;7;71002;A INFORMÁTICA AYUNTAMIENTO MADRID;10001606;3109781,12;13111387,12;13111387,12;13111387,12;12894387,12
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49179;NGEU. CONVENIO  SERVICIOS SOCIALES;7;7;71062;A INFORMÁTICA AYUNTAMIENTO DE;424132;0;424132;424132;424132;424132
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;92402;REL. INSTI., PROYECTOS ESTRATÉ;4;4;41005;A LA AGENCIA PARA EL EMPLEO DE MADRID;0;140000;140000;140000;140000;140000
001;AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;92402;REL. INSTI., PROYECTOS ESTRATÉ;4;4;41008;A MADRID SALUD;0;190000;190000;190000;190000;190000
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23200;PLANES CONCERTADOS DE REEQUILIBRIO;4;4;41005;A LA AGENCIA PARA EL EMPLEO DE MADRID;2081043;0;2081043;2081043;2081043;2081043
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23200;PLANES CONCERTADOS DE REEQUILIBRIO;4;4;41008;A MADRID SALUD;1729681;54619,38;1784300,38;1784300,38;1784300,38;1784300,38
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23201;FONDO DE REEQUILIBRIO TERRITORIAL;4;4;41008;A MADRID SALUD;1522765;216601,57;1739366,57;1739366,57;1739366,57;1739366,57
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;23201;FONDO DE REEQUILIBRIO TERRITORIAL;7;7;71008;A MADRID SALUD;0;55000;55000;55000;55000;55000
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31103;PREVENCIÓN Y PROMOCIÓN DE LA SALUD;4;4;41008;A MADRID SALUD;107342904;426408;107769312;107769312;107769312;101353804,6
001;AYUNTAMIENTO DE MADRID;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31103;PREVENCIÓN Y PROMOCIÓN DE LA SALUD;7;7;71008;A MADRID SALUD;1468983;0;1468983;1468983;1468983;1468983
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24101;EMPLEO;4;4;41005;A LA AGENCIA PARA EL EMPLEO DE MADRID;37697311;0;37697311;37697311;37697311;37697311
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24101;EMPLEO;7;7;71005;A LA AGENCIA PARA EL EMPLEO DE MADRID;2886500;0;2886500;2886500;2886500;2886500
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;93200;GESTIÓN TRIBUTARIA;4;4;41007;A LA AGENCIA TRIBUTARIA MADRID;67328061;723971,61;68052032,61;68052032,61;68052032,61;62936009,26
001;AYUNTAMIENTO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;93200;GESTIÓN TRIBUTARIA;7;7;71007;A LA AGENCIA TRIBUTARIA MADRID;174600;0;174600;174600;174600;174600
001;AYUNTAMIENTO DE MADRID;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;15109;GESTIÓN DE LICENCIAS DE ACTIVIDADES;4;4;41001;A LA AGENCIA DE ACTIVIDADES;21355254;310312;21665566;21665566;21665566;18705321,12
001;AYUNTAMIENTO DE MADRID;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;15109;GESTIÓN DE LICENCIAS DE ACTIVIDADES;7;7;71001;A LA AGENCIA DE ACTIVIDADES;7682;0;7682;7682;7682;0
001;AYUNTAMIENTO DE MADRID;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;17211;SOSTENIBILIDAD;4;4;41008;A MADRID SALUD;31705;0;31705;31704,6;31704,6;31704,6
001;AYUNTAMIENTO DE MADRID;180;POLÍTICAS SOCIALES, FAMILIA E IGUALDAD;23106;SERVICIOS SOCIALES Y EMERGENCIA SOCIAL;4;4;41008;A MADRID SALUD;0;525732,25;525732,25;525732,25;525732,25;525732,25
001;AYUNTAMIENTO DE MADRID;217;DISTRITO DE VILLAVERDE;92001;DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;7;7;71008;A MADRID SALUD;0;34694,65;34694,65;34694,65;34694,65;34694,65
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;102;COORDINACIÓN GENERAL DE LA ALCALDÍA;49101;SERVICIOS INFORMÁTICOS Y COMUNICACIONES;4;4;40000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;9690153,35;9690153,35;9690153,35;9690153,35;0
503;AGENCIA PARA EL EMPLEO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24100;DIREC. Y GESTIÓN ADMTVA. AG. EMPLEO DE MADRID;4;4;40000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;9530930,68;9530930,68;9530930,68;9530930,68;9530930,68
503;AGENCIA PARA EL EMPLEO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24100;DIREC. Y GESTIÓN ADMTVA. AG. EMPLEO DE MADRID;7;7;70000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;1554013,15;1554013,15;1554013,15;1554013,15;1554013,15
506;AGENCIA TRIBUTARIA  MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;93200;GESTIÓN TRIBUTARIA;4;4;40000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;2901916,95;2901916,95;0;0;0
508;MADRID SALUD;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31100;DIREC. Y GESTIÓN ADMTVA. MADRID SALUD;4;4;40000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;2161,4;2161,4;0;0;0
508;MADRID SALUD;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31100;DIREC. Y GESTIÓN ADMTVA. MADRID SALUD;4;4;40000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;7589203,65;7589203,65;0;0;0
509;AGENCIA DE ACTIVIDADES;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;15109;GESTIÓN DE LICENCIAS DE ACTIVIDADES;4;4;40000;A LA ADMINISTRACIÓN GENERAL DEL AYUNTAMIENTO;0;898446,18;898446,18;0;0;0
503;AGENCIA PARA EL EMPLEO DE MADRID;140;ECONOMÍA, INNOVACIÓN Y HACIENDA;24100;DIREC. Y GESTIÓN ADMTVA. AG. EMPLEO DE MADRID;2;2;22502;TRIBUTOS DE LAS ENTIDADES LOCALES;3000;0;3000;565,31;565,31;565,31
508;MADRID SALUD;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;31100;DIREC. Y GESTIÓN ADMTVA. MADRID SALUD;2;2;22502;TRIBUTOS DE LAS ENTIDADES LOCALES;11000;0;11000;59;59;59
