CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado
001100;91216;01;01;REUNIONES;NÚMERO/AÑO;223
001100;91216;01;02;BORRADORES ORDEN DEL DÍA ELABORADOS;NÚMERO/AÑO;34
001100;91216;01;03;JUNTAS DE PORTAVOCES;NÚMERO/AÑO;17
001100;91216;02;01;RESTAURACION LAMPARAS, FAROLES Y OTROS ELEMENTOS HISTORICO-ARTISTICOS CASA CISNEROS;NÚMERO;4
001100;91230;01;01;SESIONES DEL PLENO;NÚMERO/AÑO;17
001100;91230;01;02;SESIONES DE LAS COMISIONES DEL PLENO;NÚMERO/AÑO;108
001100;91230;01;03;RETRANSMISIÓN SOBRE SESIONES COMISIONES PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;01;04;RETRANSMISIÓN SOBRE SESIONES COMISIONES NO PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;01;05;RETRANSMISIÓN SOBRE SESIONES DEL PLENO EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;02;01;ACTUALIZACIONES DE LA INFORMACIÓN;NÚMERO/AÑO;1700
001100;91230;02;02;DOCUMENTOS ACCESIBLES A TRAVÉS DE LA WEB;NÚMERO/AÑO;8800
001100;91230;03;08;RESOLUCIONES RELATIVAS AL PLENO Y SUS COMISIONES;NÚMERO/AÑO;220
001100;91230;03;07;ANOTACIONES EN EL REGISTRO DE CAUSAS DE POSIBLE INCOMPATIBILIDAD Y DE ACTIVIDADES DE LOS CONCEJALES;NÚMERO/AÑO;60
001100;91230;03;06;ANOTACIONES EN EL REGISTRO DE BIENES PATRIMONIALES DE LOS CONCEJALES;NÚMERO/AÑO;70
001100;91230;03;05;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;100
001100;91230;03;04;ANOTACIONES DE DISTINCIONES CONCEDIDAS EN EL REGISTRO DE DISTINCIONES HONORÍFICAS;NÚMERO/AÑO;18
001100;91230;03;03;INCORPORACIÓN DE DOCUMENTACIÓN ASOCIADA A LOS ASIENTOS DEL REGISTRO DEL PLENO;NÚMERO/AÑO;2500
001100;91230;03;02;ASIENTOS DE SALIDA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;130
001100;91230;03;01;ASIENTOS DE ENTRADA EN EL REGISTRO DEL PLENO;NÚMERO/AÑO;1600
001100;91230;04;01;CONTRATOS MENORES TRAMITADOS;NÚMERO/AÑO;42
001100;91230;04;02;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO/AÑO;270
001100;91230;04;03;ACTUACIONES EN MATERIA DE GESTIÓN DE PERSONAL;NÚMERO/AÑO;300
001100;91230;05;09;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;NÚMERO/AÑO;1
001100;91230;05;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACIÓN;NÚMERO;5
