CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001002;91100;01;01;Digitalizaciones;NÚMERO;120;0
001002;91100;02;01;Días de Comisiones a considerar para su grabación;DÍAS;120;105
001002;91100;03;01;Actualizaciones de la información;NÚMERO;500;1285
001002;91100;03;02;Documentos accesibles a través de la web;NÚMERO;2800;3341
001002;91100;04;01;Distinciones concedidas hasta 2011;NÚMERO;1600;1394
001002;91100;04;02;Distinciones concedidas durante 2012;NÚMERO;20;10
001002;91101;01;01;Expedientes de gasto;NÚMERO;16;16
001002;91101;01;02;Informes de seguimiento de ejecución prespuestaria;NÚMERO;4;4
001002;92010;01;01;Tramitación de contratos;NÚMERO;14;56
001002;92010;02;01;Documentos contables;NÚMERO;500;1237
001002;92010;02;02;Documentos de anticipos de caja;NÚMERO;30;99
001002;92010;02;03;Informes estado ejecución;NÚMERO;12;12
001002;92010;03;05;Actuaciones en materia de salud laboraly prevención de riesgos laborales;NÚMERO;19;18
001002;92010;03;04;Participación en mesas de negociación;NÚMERO;5;2
001002;92010;03;03;Expedientes de modificación de RPT;NÚMERO;3;8
001002;92010;03;02;Puestos incluidos en convocatoria de provisión;NÚMERO;10;13
001002;92010;03;01;Expedientes de compras y servicios;NÚMERO;80;83
001011;92701;01;;;;0;0
001011;92701;02;;;;0;0
001011;92701;03;;;;0;0
001012;34102;01;01;JORNADAS DEL CIRCUITO DE AEROBIC-FITNESS Y NUEVAS TENDENCIAS;NÚMERO;4;0
001012;34102;01;02;PARTICIPANTES DEL CIRCUITO DE AEROBIC-FITNESS Y NUEVAS TENDENCIAS;NÚMERO;1750;0
001012;34102;01;03;JORNADAS DE PROMOCIÓN DEPORTIVA PARA PERSONAS CON DISCAPACIDAD;NÚMERO;2;0
001012;34102;01;04;JORNADAS TÉCNICAS DIVULGATIVAS PARA MAYORES;NÚMERO;9;0
001012;34102;01;05;PARTICIPANTES EN EL ENCUENTRO DEPORTIVO PARA MAYORES;NÚMERO;2000;0
001012;34102;01;06;PARTICIPANTES EN LA SEMANA DE LA MUJER DEPORTISTA;NÚMERO;1400;1414
001012;34102;01;07;PARTICIPANTES EN LAS ACTIVIDADES DE LA SEMANA DEL CORAZÓN;NÚMERO;500;0
001012;34102;01;08;PARTICIPANTES EN EL FESTIVAL JOAQUÍN ROSADO;NÚMERO;1200;740
001012;34102;01;09;PARTICIPANTES EN ACTIVIDADES DEPORTIVAS AL AIRE LIBRE;NÚMERO;5290;4548
001012;34102;02;06;MODALIDADES DEPORTIVAS EN LAS ESCUELAS EN COLABORACIÓN CON ENTIDADES DEPORTIVAS;NÚMERO;34;35
001012;34102;02;05;ALUMNOS EN LAS ESCUELAS DEPORTIVA EN COLABORACIÓN CON ENTIDADES;NÚMERO;7600;7748
001012;34102;02;04;MÓDULOS EN LAS ESCUELAS EN COLABORACIÓN CON ENTIDADES;NÚMERO;526;537
001012;34102;02;01;GRUPOS DE ESCUELAS DE PROMOCIÓN DEPORTIVA EN CENTROS ESCOLARES;NÚMERO;464;450
001012;34102;02;02;ALUMNOS EN ESCUELAS DE PROMOCIÓN DEPORTIVA EN CENTROS ESCOLARES;NÚMERO;6800;6980
001012;34102;02;03;MODALIDADES DEPORTIVAS EN LAS ESCUELAS DE PROMOCIÓN DEPORTIVA EN CENTROS ESCOLARES;NÚMERO;17;17
001012;34102;03;01;PARTICIPANTES EN LAS AULAS DEPORTIVAS MUNICIPALES;NÚMERO;7500;6451
001012;34102;04;01;EQUIPOS PARTICIPANTES EN LOS JUEGOS DEPORTIVOS MUNICIPALES;NÚMERO;6000;5969
001012;34102;04;02;DEPORTISTAS PARTICIPANTES EN LOS JUEGOS DEPORTIVOS MUNICIPALES;NÚMERO;102000;114949
001012;34102;04;03;ENCUENTROS DEPORTIVOS INTERCIUDADES;NÚMERO;1;1
001012;34102;04;04;EQUIPOS PARTICIPANTES EN LOS TORNEOS MUNICIPALES;NÚMERO;2650;2617
001012;34102;04;05;DEPORTISTAS PARTICIPANTES EN LOS TORNEOS MUNICIPALES;NÚMERO;33500;36130
001012;34102;04;06;CONVENIOS DE COLABORACIÓN PARA ARBITRAJES Y ACTUACIONES EN COMPETICIONES;NÚMERO;20;20
001012;34102;05;01;ENTIDADES SUBVENCIONADAS PARA EL DESARROLLO DE PROGRAMAS DEPORTIVOS;NÚMERO;175;0
001012;34102;05;02;ENTIDADES SUBVENCIONADAS PARA LA ORGANIZACIÓN DE ACTOS DEPORTIVOS;NÚMERO;180;0
001012;34102;05;03;CLUBES DEPORTIVOS CON PATROCINIO DEL AYUNTAMIENTO;NÚMERO;11;15
001012;34102;06;01;MODULOS DE ESCUELAS DEPORTIVAS ADAPTADAS;NÚMERO;47;47
001012;34102;06;02;PARTICIPANTES EN LAS ESCUELAS DEPORTIVAS ADAPTADAS;NÚMERO;200;273
001012;34102;06;03;MODALIDADES DEPORTIVAS CON ESCUELAS ADAPTADAS;NÚMERO;15;13
001012;34102;07;01;CENTROS ESCOLARES INCLUIDOS EN ACTUACIONES DE MARCAJE DE PISTAS POLIDEPORTIVAS;NÚMERO;50;0
001012;34102;08;02;CENTROS DE MEDICINA DEPORTIVA;NÚMERO;10;10
001012;34102;08;01;COLUMNAS DE RESCATE CARDIACO;NÚMERO;54;54
001012;34102;09;02;DESARROLLO DE EVENTOS INSTITUCIONALES;NÚMERO;8;16
001012;34102;09;03;SOPORTES INFORMATIVOS Y DIVULGATIVOS;NÚMERO;8;14
001012;34102;09;04;SUSCRIPCIONES AL BOLETÍN ELECTRÓNICO;NÚMERO;1400;1198
001012;34102;09;01;CAMPAÑAS INFORMATIVAS;NÚMERO;9;14
001012;34102;10;01;RECIBOS DOMICILIADOS;NÚMERO/MES;37000;31574
001012;34102;10;02;PAGOS MEDIANTE TARJETA BANCARIA;NÚMERO/MES;30000;33040
001012;34102;10;03;RECOGIDAS ANUALES DE METÁLICO;NÚMERO;2600;3031
001012;34102;10;04;EXPEDIENTES TRAMITADOS DE SOLICITUD DE DEVOLUCIÓN DE INGRESOS INDEBIDOS;NÚMERO;1200;1117
001012;34102;11;01;EVENTOS DEPORTIVOS DE GRAN RELEVANCIA PATROCINADOS;NÚMERO;17;17
001012;91200;01;08;Publicaciones en Boletines Oficiales;NÚMERO;180;312
001012;91200;01;07;Alegaciones a proyectos normativos;NÚMERO;3000;111
001012;91200;01;06;Proyectos Normativos tramitados;NÚMERO;50;53
001012;91200;01;05;Información a Grupos Municipales;NÚMERO;2400;2530
001012;91200;01;04;Comunicaciones a la Presidencia del Pleno;NÚMERO;150;107
001012;91200;01;03;Comunicaciones  a Secretarías Generales;NÚMERO;500;465
001012;91200;01;02;Actas de las sesiones;NÚMERO;50;52
001012;91200;01;01;Expedientes aprobados por la Junta de Gobierno;NÚMERO;1000;898
001012;91200;02;01;Convenios registrados;NÚMERO;700;470
001012;91200;03;01;Certificaciones expedidas;NÚMERO;200;98
001012;91200;03;02;Documentos autorizados;NÚMERO;4000;4038
001012;92000;01;01;Procedimientos;NÚMERO;4;3
001012;92000;02;01;Informes en materia de personal;NÚMERO;10;12
001012;92000;02;02;Análisis de gestión interna;NÚMERO;2;2
001012;92000;02;03;Informe de ejecución presupuestaria;NÚMERO;15;15
001012;92000;02;04;Informes de seguimiento de contratación;NÚMERO;12;12
001012;92000;02;05;Reuniones de coordinación;NÚMERO;11;0
001012;92000;03;01;Expedientes de contratación;NÚMERO;45;33
001012;92000;03;02;Documentos contables tramitados;NÚMERO;3500;2489
001012;92000;03;03;Expedientes estudiados en la Comisión Previa a la Junta de Gobierno;NÚMERO;1000;645
001012;92009;01;03;Informes;NÚMERO;2000;1579
001012;92009;01;02;Bastanteos;NÚMERO;2000;1661
001012;92009;01;01;Pleitos;NÚMERO;9000;7597
001012;92201;01;01;Peticiones Información Administrativa de los Concejales tramitadas;NÚMERO;750;723
001012;92201;02;01;Proyectos de normas elaboradas;NÚMERO;2;2
001012;92201;02;02;Proyectos de normas  informadas;NÚMERO;12;15
001012;92201;02;03;Proyectos de Convenios elaborados;NÚMERO;2;0
001012;92201;02;04;Proyectos de Convenios informados;NÚMERO;15;11
001012;92201;03;01;Solicitudes de dictamen del Consejo Consultivo de la Comunidad de Madrid preparadas;NÚMERO;160;164
001012;92201;03;02;Observaciones procedimientos Comisión Unión Europea remitidas;NÚMERO;4;3
001013;92202;01;01;Documentos de unificación elaborados;NÚMERO;300;69
001013;92202;01;02;Reuniones de coordinación con los distritos;NÚMERO;159;0
001013;92202;01;03;Aplicaciones informáticas desarrolladas;NÚMERO;19;0
001013;92202;01;04;Atenciones telefónicas y telemáticas;NÚMERO;6740;0
001013;92202;02;07;Informes sobre normativa emitidos;NÚMERO;115;1
001013;92202;02;06;Grupos de trabajo y comisiones en los que se participa;NÚMERO;48;0
001013;92202;02;05;Tomas de información de distritos;NÚMERO;175;0
001013;92202;02;04;Reuniones de coordinación con otros órganos;NÚMERO;205;0
001013;92202;02;01;Proyectos acometidos en colaboración con otras Áreas;NÚMERO;43;0
001013;92202;02;02;Proyectos realizados sobre proyectos acometidos;PORCENTAJE;80;0
001013;92202;02;03;Órganos municipales con los que se colabora;NÚMERO;30;0
001013;92202;03;01;Expedientes y propuestas tramitados;NÚMERO;125;399
001013;92202;03;02;Anuncios publicados en el tablón de edictos;NÚMERO;1000;962
001013;92202;03;03;Memorias supervisadas;NÚMERO;42;0
001013;92202;03;04;Peticiones de información gestionadas;NÚMERO;100;81
001013;92202;03;05;Propuestas en materia de personal informadas;NÚMERO;200;0
001013;92202;04;01;Medios de difusión;NÚMERO;13;0
001013;92202;04;02;Inserciones en medios;NÚMERO;495;0
001013;92202;05;01;Sesiones formativas;NÚMERO;13;0
001013;92202;05;02;Tiempo de formación impartido;NÚMERO;204;0
001013;92202;05;03;Alumnos formados;NÚMERO;247;0
001014;92203;01;01;Actos de carácter oficial;NÚMERO;525;500
001014;92203;01;02;Atenciones Protocolarias y Representativa;NÚMERO;840;800
001014;92203;02;01;Expedientes;NÚMERO;400;400
001014;92203;02;02;Alumnos universitarios en prácticas en el Ayuntamiento;NÚMERO;55;55
001014;92203;03;04;Suscripciones a repertorios de legislación y jurisprudencia;NÚMERO;5;5
001014;92203;03;03;Suscripciones a revistas especializadas;NÚMERO;35;35
001014;92203;03;02;Crecimiento de los fondos bibliográficos.Títulos nuevos;NÚMERO;175;175
001014;92203;03;01;Solicitud de información libros y revistas técnico jurídicas;NÚMERO;180;180
001014;92204;01;01;Participación en Instituciones de la UE;NÚMERO/AÑO;2;2
001014;92204;01;02;Participación en asociaciones internacionales;NÚMERO/AÑO;18;16
001014;92204;01;03;Participación en otros foros y reuniones internacionales;NÚMERO/AÑO;10;24
001014;92204;01;04;Viajes institucionales;NÚMERO/AÑO;5;4
001014;92204;01;05;Edición de publicaciones;NÚMERO/AÑO;1;1
001014;92204;02;01;Celebración de encuentros y reuniones internacionales en Madrid;NÚMERO/AÑO;4;10
001014;92204;02;02;Programas de cooperación internacional coordinados por Vicealcaldía;NÚMERO/AÑO;0;0
001014;92204;02;03;Realización de programas de trabajo a delegaciones oficiales;NÚMERO/AÑO;36;58
001014;92204;03;01;Propuesta de acuerdos de colaboración con entidades e instituciones;NÚMERO/AÑO;3;5
001014;92204;03;02;Acciones realizadas en ejecución de acuerdos de colaboración;NÚMERO/AÑO;4;8
001015;13304;01;06;Puntos de recarga para vehículos eléctricos;NÚMERO;400;440
001015;13304;01;05;Puntos de repostaje de combustibles alternativos;NÚMERO;40;28
001015;13304;01;04;Contrataciones de servicios energéticos integrados en el Plan 2000 ESE.;NÚMERO;2;2
001015;13304;01;01;Medidas del PUSECC en ejecución respecto al total (55 medidas) (Memoria año anterior);PORCENTAJE;85;84
001015;13304;01;02;Ejecución presupuestaria PUSECC;PORCENTAJE;65;56
001015;13304;01;03;Elaboración de auditorias energéticas;NÚMERO;25;29
001015;13304;02;01;Porcentaje de datos válidos en las estaciones del Sistema de Vigilancia.;PORCENTAJE;90;96
001015;13304;02;02;Informes diarios del sistema de predicción e información;NÚMERO;365;366
001015;13304;02;03;Impulso medidas de mejora de la calidad del aire;NÚMERO;46;48
001015;13304;03;01;Calles controladas;NÚMERO;7500;7500
001015;13304;03;02;Cruces controlados;NÚMERO;100;235
001015;13304;04;01;Estudios realizados;NÚMERO;35;40
001015;13304;05;01;Plazas de aparcamiento en zona azul;NÚMERO;32143;28284
001015;13304;05;02;Plazas de aparcamiento en zona verde (residentes);NÚMERO;131175;121766
001015;13304;05;03;Controladores aparcamiento;NÚMERO;1250;1286
001015;13304;05;04;Máquinas expendedoras de tiques de estacionamiento;NÚMERO;4215;4195
001015;13304;05;05;Índice medio de rotación en plazas azules;NÚMERO;4;3
001015;13304;05;06;Índice medio de rotación en plazas verdes;NÚMERO;1;1
001015;13304;05;07;Denuncias por uso indebido de plazas de aparcamiento;NÚMERO;2750000;2050000
001015;13304;06;01;Ampliación de la flota de taxis más ecológicos;NÚMERO;344;53
001015;13304;06;02;Mantenimiento, renovación y ampliación de la flota de eurotaxi;NÚMERO;10;0
001015;13304;07;02;Trípticos tarifarios y carteles informativos;NÚMERO;19050;20100
001015;13304;07;01;Adhesivos tarifarios;NÚMERO;40000;40000
001015;13304;08;02;Informes de seguimiento contratación sostenible;NÚMERO;2;2
001015;13304;08;03;Centros con nuevas implantaciones en sistemas de gestión ambiental;NÚMERO;3;1
001015;13304;08;04;Registros /certificaciones  obtenidas en el año;NÚMERO;3;1
001015;13304;08;01;Jornadas divulgativas;NÚMERO;2;2
001015;13304;09;01;Proyectos ejecutados en colaboración con el sector privado;NÚMERO;9;7
001015;13304;09;02;Árboles plantados en el marco del proyecto Madrid Compensa;NÚMERO;10000;1050
001015;13304;09;03;Participación en foros nacionales e internacionales;NÚMERO;8;11
001015;15501;01;01;Espacios afectados;M2;190000;306000
001015;15501;02;01;Barreras eliminadas;NÚMERO;500;548
001015;15501;03;01;Proyectos a realizar;NÚMERO;9;32
001015;15501;04;01;Obras de particulares;NÚMERO;14;8
001015;15501;05;01;Revisión y aprobación anual del Inventario de Vías Públicas;NÚMERO;1;1
001015;15501;06;06;Proyectos informados y seguimiento de intergración ambiental de las obras;NÚMERO;80;18
001015;15501;06;05;Designación de Coordinadores e Informes del Plan de Seguridad y Salud;NÚMERO;25;94
001015;15501;06;04;Visitas de control sobre desarrollo del PVA de las obras.;NÚMERO;80;62
001015;15501;06;01;Unidades facturables sobre ensayos de control de calidad;NÚMERO;10000;25333
001015;15501;06;02;Visitas de supervisión de seguridad y salud en obras;NÚMERO;70;193
001015;15501;06;03;Informes-acta de visitas específicas por Convenio con  Agentes Sociales sobre seguridad y salud;NÚMERO;40;33
001015;15501;07;01;Participación en elaboración y modificación de normativa y protocolos de actuación;NÚMERO;4;8
001015;15501;07;02;Tramitación de expedientes jurídico-administrativos;NÚMERO;150;225
001015;15501;07;03;Elaboración de informes jurídicos;NÚMERO;7;7
001015;15501;08;01;Actualización de la normalización de ciertos elementos constructivos para obras de urbanización;NÚMERO;1;1
001015;15501;08;02;Propuestas de resolución sobre homologación de elementos de alumbrado público;NÚMERO;50;25
001015;15501;09;01;Revisión y actualización de normativa técnica (Pliegos);NÚMERO;1;1
