CeGe;Prog. Finan.;Objetivo;Actividad por Objetivo;Descripción Actividades
001012;34102;01;A;ORGANIZACION DE ACTIVIDADES DEPORTIVAS EN LA NIEVE
001012;34102;01;B;ORGANIZACION DEL DIA DEL DEPORTE
001012;34102;02;A;PROGRAMACION  Y DESARROLLO DE LAS ESCUELAS DE PROMOCION EN CENTROSDEPORTIVOS
001012;34102;02;B;PROGRAMACION Y DESARROLLO DE LAS ESCUELAS EN COLABORACION
001012;34102;03;A;ORGANIZACION Y DESARROLLO DE LAS AULAS DEPORTIVAS MUNICIPALES
001012;34102;04;A;ORGANIZACION DE LOS JUEGOS DEPORTIVOS MUNICIPALES
001012;34102;04;B;ORGANIZACION DE LOS TORNEOS DE NAVIDAD Y PRIMAVERA
001012;34102;04;C;ORGANIZACION DE LOS TORNEOS MUNICIPALES
001012;34102;05;A;SUSCRIPCION DE CONVENIOS DE COLABORACION CONFEDERACIONES Y ENTIDADESPARA LA CREACION DE ESCUELAS DEL DEPORTE ADAPTADO
001012;34102;06;A;MANTANIMIENTO, GESTION Y FORMACION REFERIDO A LAS COLUMNAS DE RESCATECARDIACO.
001012;34102;06;B;COORDINACION DE LOS CENTROS DE MEDICINA DEPORTIVA.
001012;34102;07;A;TRABAJOS PARA LA DIFUSION DE LOS PROGRAMAS DEPORTIVOS.
001012;34102;07;B;ORGANIZACION Y ASISTENCIA TECNICA DE LOS EVENTOS INSTITUCIONALES.
001012;34102;07;C;TRABAJOS PARA LA ELABORACION DE SOPORTES INFORMATIVOS Y DIVULGATIVOS.
001012;34102;07;D;ELABORACION DE BOLETIN ELECTRONICO DE LA DIRECCION GENERAL DE DEPORTES.
001012;34102;08;A;GESTION DE SISTEMA DE VENTA DE SERVICIOS EN LOS CENTROS DEPORTIVOS
001012;34102;08;B;PLANIFICACION, GESTION Y CONTROL DE LA RECAUDACION.
001012;34102;08;C;TRAMITACION DE LOS EXPEDIENTES DE DEVOLUCION DE INGRESOS.
001012;34102;09;A;ACTUACIONES DE PATROCINIO PARA LA CELEBRACION DE EVENTOS DEPORTIVOS DERELEVANCIA NACIONAL E INTERNACIONAL.
001012;91200;01;A;Elaboración de unas normas de estilo para los asuntos que se elevan a laJunta de Gobierno.
001012;91200;01;B;Gestión de la aplicación de los asuntos elevados a la Junta de Gobierno.
001012;91200;01;C;Gestión y mantenimiento de la información publicada en la web sobre losacuerdos adoptados por la Junta de Gobierno.
001012;91200;01;D;Información a través de la web del periodo de información pública de losasuntos aprobados  por la Junta de Gobierno.
001012;91200;01;E;Seguimiento de la publicación y difusión de los acuerdos.
001012;91200;01;F;Envío a los Servicios de la documentación relativa a los asuntosaprobados por la Junta de Gobierno.
001012;91200;02;A;Desarrollo de un protocolo para facilitar la introducción uniforme de lainformación en la aplicación del Registro de con
001012;91200;02;B;Continuar la informatización de los convenios incorporados al Registrode convenios y suscritos con anterioridad al 31 de
001012;91200;02;C;Escaneo de los documentos.
001012;91200;02;D;Seguimiento de las publicaciones que efectúan las Áreas de Gobierno delas relaciones de  convenios  en la página web y e
001012;91200;03;A;Expedición de certificaciones y copias auténticas.
001012;91200;03;B;Autorización a los ciudadanos de los documentos que deban serlegalizados para surtir efectos en el extranjero.
001012;91200;03;C;Información presencial a los ciudadanos de los trámites necesarios parala legalización de los documentos.
001012;91200;03;D;Incorporación en los correspondientes Registros de los decretos de laAlcaldesa y los decretos y resoluciones de los órga
001012;92000;01;A;ELABORACION DE PROPUESTAS DE RELACION DE PUESTOS DE TRABAJO, TRAMITACIONDE COBERTURA DE VACANTES.
001012;92000;01;B;COORDINACION Y SEGUIMIENTO DEL PLAN DE FORMACION EN EL AMBITO DEL AREADE GOBIERNO DE VICEALCALDIA
001012;92000;01;C;GESTION Y ORGANIZACION INTERNA, LOGISTICA Y REGIMEN INTERIOR.
001012;92000;01;D;COORDINACION DE LA ADQUISICION DE LIBROS Y REVISTAS FACILITANDO LAUTILIZACION GLOBAL Y CONJUNTA DE LOS MISMOS.
001012;92000;01;E;COORDINACION DE LA GESTION Y DIFUSION DE LA INFORMACION CON Y ENTRETODAS LAS DIRECCIONES GENERALES DEL AREA DE GOBIERNO
001012;92000;02;A;ESTUDIO Y TRAMITACION DE EXPEDIENTES DE CONTRATACION.
001012;92000;02;B;TRAMITACION Y SEGUIMIENTO DE LOS EXPEDIENTES DE GASTO, MOFIFICACIONESPRESUPUESTARIAS ETC.
001012;92000;02;C;SEGUIMIENTO DE LA EJECUCION PRESUPUESTARIA.
001012;92000;02;D;COORDINACION Y ESTUDIO DE LOS ACUERDOS QUE SE ELEVAN A LA JUNTA DEGOBIERNO.
001012;92000;02;E;APOYO A LA SECRETARIA DE LA COMISION PREVIA A LA JUNTA DE GOBIERNO.
001012;92000;02;F;HABILITACION DE PAGOS A TRAVES DE LOS ANTICIPOS DE CAJA FIJA Y PAGOS AJUSTIFICAR.
001012;92000;03;A;VERIFICAR DESDE EL PUNTO DE VISTA ADMINISTRATIVO Y FÍSICO LA EVOLUCIÓNDE LAS ACTUACIONES DEL
001012;92000;03;B;TRAMITAR LAS CERTIFICACIONES DE GASTO CORRESPONDIENTES A LOS DISTINTOSPROGRAMAS DE FONDOS
001012;92000;03;C;REALIZAR EL SEGUIMIENTO DE LOS INGRESOS A FAVOR DEL AYUNTAMIENTO DEMADRID PROCEDENTES DE FONDOS
001012;92000;03;D;REPRESENTAR AL AYUNTAMIENTO DE MADRID ANTE LAS DISTINTASADMINISTRACIONES Y EN LOS ORGANISMOS QUE
001012;92000;03;E;PROMOVER LAS MODIFICACIONES QUE FUERAN PRECISAS DE LOS PROGRAMASCOFINANCIADOS POR FONDOS
001012;92000;03;F; IDENTIFICACIÓN Y ANÁLISIS DE NUEVAS FUENTES DE FINANCIACIÓN PROCEDENTESDE LA UNIÓN EUROPEA
001012;92009;01;A;Poner en marcha cambios globales de planteamientos organizativos quesupongan una modernización, flexibilización y mejora
001012;92204;01;A;Seguimiento de las políticas de la Unión Europea con incidencia en laAdministración Local.
001012;92204;01;B;Relación con las instituciones europeas
001012;92204;01;C;Promoción en el ámbito europeo de los objetivos y proyectos de Madrid
001012;92204;01;D;Seguimiento e impulso de la participación del Ayuntamiento de Madrid enlas  otras organizaciones internacionales a las q
001012;92204;01;E;Estudio e informe de la posible adhesión de Madrid a otrasorganizaciones o instancias internacionales, especialmente en
001012;92204;01;F;Gestión de la participación de miembros de la Corporación o personalmunicipal en las distintas instancias de las diferen
001012;92204;01;G;Centralización de la información relativa a la actividad internacionalde todo el Ayuntamiento
001012;92204;01;H;Organización de los programas para la celebración en Madrid de lasreuniones o visitas de miembros de dichas organizacion
001012;92204;01;I;Seguimiento de la relación del Ayuntamiento con los Consorcios yFundaciones
001012;92204;01;J;Estudio, documentación e informe de todos los asuntos de contenidointernacional que se requieran
001012;92204;01;K;Gestión administrativa de los expedientes y asuntos propios de susfunciones
001012;92204;02;A;Impulso y seguimiento de las relaciones bilaterales de Madrid conciudades, foros e instancias locales del extranjero
001012;92204;02;B;Preparación y desarrollo de programas de visitas oficiales al extranjerocoordinados por la Vicealcaldía.
001012;92204;02;C;Organización de visitas a Madrid de representantes de gobiernos localesextranjeros
001012;92204;02;D;Relaciones con las embajadas extranjeras y organismos internacionalesacreditados en Madrid.
001012;92204;02;E;Seguimiento y gestión de los hermanamientos, acuerdos de amistad ycolaboración con otras capitales y ciudades del extran
001012;92204;02;F;Complemento de la actividad  de los servicios de protocolo, en actos decarácter internacional
001012;92204;02;G;Gestión administrativa de los expedientes y asuntos propios de susfunciones
001012;92204;03;A;Identificación y priorización de las posibles entidades e instituciones.Definición de contenidos generales y específicos
001012;92204;03;B;Elaboración y propuesta de acuerdos de colaboración
001012;92204;03;C;Formalización de acuerdos
001012;92204;03;D;Ejecución de acciones de proyección
001012;92204;03;E;Seguimiento de la estrategia internacional y detección de oportunidadespara Madrid en el ámbito internacional
001012;92204;03;F;Comité de enlaces aéreos, red ARC
001012;92204;03;G;Creación y puesta en marcha del Grupo de Expertos para el asesoramientointernacional
001012;92204;03;H;Elaboración y difusión del boletín internacional de Madrid
001012;92204;03;I;Seguimiento y revisión del Catálogo de buenas prácticas para lapromoción internacional
001012;92204;04;A;Elaboración del Plan Anual de Patrocinios de la Ciudad de Madrid.
001012;92204;04;B;Creación de la Comisión Técnica de Patrocinios.
001012;92204;04;C;Apoyo y asesoramiento en el desarrollo y ejecución de los activos convalor PPP.
001012;92204;04;D;Desarrollo e implantación de la Plataforma online y materialesnecesarios para la implantación del modelo de partenariado
001012;92204;04;E;Definición del modelo de gestión del espacio público en la Ciudad deMadid.
