CeGe;Prog. Finan.;Objetivo;Hipertexto Objetivo;
001100;91216;01;EJERCER LAS FUNCIONES DE LA PRESIDENCIA DEL PLENO DELEGADAS POR EL  ALCALDE.;
001100;91216;02;ACTUACIONES HISTÓRICO ARTÍSTICAS;
001100;91230;01;ATENCIÓN DE LA ACTIVIDAD DEL PLENO Y SUS COMISIONES.;
001100;91230;02;MANTENIMIENTO Y ADAPTACIÓN DE LA INFORMACIÓN EN LA WEB MUNICIPAL.;
001100;91230;03;GESTIÓN, MANTENIMIENTO Y CUSTODIA DE LOS REGISTROS DE RESPONSABILIDAD DE LA SECRETARÍA GENERAL DEL PLENO.;
001100;91230;04;PROMOVER LA EFICAZ GESTIÓN DE LOS SERVICIOS DE COMPETENCIA DE LA  SECRETARÍA GENERAL DEL PLENO, APORTANDO LOS MEDIOS NECESARIOS PARA EL DESARROLLO DE LAS FUNCIONES DE LA MISMA MEDIANTE LOS CORRESPONDIENTES PROCEDIMIENTOS DE CONTRATACIÓN, GESTIÓN DE PERSONAL Y TRAMITACIÓN DE EXPEDIENTES DE GASTO.;
001100;91230;05;CONSERVAR EL EDIFICIO MUNICIPAL DESTINADO A LA PRESIDENCIA DEL PLENO Y SUS INSTALACIONES EN CONDICIONES IDÓNEAS PARA SU USO MEDIANTE LA REALIZACIÓN DE LAS CORRESPONDIENTES ACCIONES DE CONSERVACIÓN, LIMPIEZA Y MANTENIMIENTO.;
001100;91240;01;GESTIÓN DE LOS SERVICIOS PARA EL APOYO AL DESARROLLO DE LAS FUNCIONES DE LOS GRUPOS POLÍTICOS MEDIANTE LA TRAMITACIÓN DE LOS CORRESPONDIENTES PROCEDIMIENTOS DE CONTRATACIÓN Y EXPEDIENTES DE GASTO.;
001100;91240;02;MANTENIMIENTO Y CONSERVACIÓN EN PERFECTO ESTADO DE USO, GARANTIZANDO EL CUMPLIMIENTO DE LA NORMATIVA VIGENTE, ASÍ COMO DE SUS INSTALACIONES, DEL EDIFICIO DESTINADO A LOS GRUPOS POLÍTICOS MUNICIPALES.;
001101;91201;01;Ejercer las funciones ejecutivas de dirección política y administrativa  que corresponden a la Alcaldía.;
001102;49101;01;APORTACIÓN A INFORMÁTICA AYUNTAMIENTO DE MADRID;
001102;49102;01;Implantar la estrategia y los proyectos de transformación digital y de  desarrollo de soluciones 5G en el ámbito de la Administración Municipal y los Servicios Públicos, así como realizar su seguimiento.;
001102;49102;02;Implantar y hacer seguimiento de la estrategia de datos e inteligencia  artificial municipales a través de la implantación del modelo de gobernanza del dato y el fomento y colaboración en nuevos proyectos de datos e inteligencia artificial;
001102;49102;03;Desarrollar el itinerario de Administración Digital y Automatizada;
001102;49179;01;REALIZAR LA APORTACIÓN DEL CRÉDITO NECESARIO A IAM PARA LA EJECUCIÓN DEL  PROYECTO NGEU CONVENIO DE SERVICIOS SOCIALES;
001102;91202;01;Proporcionar al Alcalde la asistencia y asesoramiento que resulte  necesaria para el ejercicio de sus funciones.;
001102;92002;01;RACIONALIZAR LA ORGANIZACIÓN MUNICIPAL.;
001102;92002;02;SIMPLIFICAR NORMAS, PROCEDIMIENTOS Y COMPETENCIAS.;
001102;92009;01;Prestar el asesoramiento jurídico y la asistencia procesal que la Ley  atribuye a la Asesoría Jurídica.;
001102;92012;01;Racionalizar la gestión de los recursos humanos.;
001102;92012;02;Gestionar expedientes de contratación pública.;
001102;92012;03;Incluir en la contratación cláusulas sociales de perspectiva de género.;
001102;92012;04;Obtener información para analizar el impacto de la contratación  gestionada por la Secretaría General Técnica en las líneas estratégicas de las políticas municipales de igualdad.;
001102;92012;05;Tramitar los procedimientos de gestión económica y prespuestaria.;
001102;92012;06;Gestionar las actuaciones de régimen interior y de montaje de actos  públicos.;
001102;92012;07;Asistir jurídicamente a los servicios de la Coordinación General de la  Alcaldía.;
001102;92012;08;Facilitar al ciudadano su relación con la Administración Municipal  mediante la información y atención, el registro de documentos y la gestión de las sugerencias y reclamaciones.;
001102;92206;01;Asistir al Alcalde en sus funciones de coordinación administrativa  general del Ayuntamiento de Madrid.;
001102;92207;01;FORTALECER LA PARTICIPACIÓN DEL AYUNTAMIENTO DE MADRID EN INSTANCIAS  MULTILATERALES;
001102;92207;02;POTENCIAR LAS RELACIONES BILATERALES DE MADRID CON OTROS GOBIERNOS  LOCALES;
001102;92207;03;INCORPORAR EN LA CONTRATACIÓN PÚBLICA CLÁUSULAS SOCIALES DE IGUALDAD DE GÉNERO;
001102;92207;04;PROMOVER EL USO NO SEXISTA DEL LENGUAJE;
