CeGe;Prog. Finan.;Objetivo;Actividad por Objetivo;Descripción Actividades
001012;23290;01;A;VERIFICAR DESDE EL PUNTO DE VISTA ADMINISTRATIVO Y FÍSICO LA EVOLUCIÓNDE LAS ACTUACIONES DEL AYUNTAMIENTO DE MADRID COFI
001012;23290;01;B;TRAMITAR LAS CERTIFICACIONES DE GASTO CORRESPONDIENTES A LOS DISTINTOSPROGRAMAS DE FONDOS EUROPEOS EN LOS QUE PARTICIPA
001012;23290;01;C;REALIZAR EL SEGUIMIENTO DE LOS INGRESOS A FAVOR DEL AYUNTAMIENTO DEMADRID PROCEDENTES DE FONDOS EUROPEOS.
001012;23290;01;D;REPRESENTAR AL AYUNTAMIENTO DE MADRID ANTE LAS DISTINTASADMINISTRACIONES Y EN LOS ORGANISMOS QUE PROCEDA CON MOTIVO DE L
001012;23290;01;E;PREPARAR LA DOCUMENTACIÓN DEL CIERRE DE LOS PROGRAMAS COFINANCIADOS PORFONDOS EUROPEOS  DEL PERÍODO 2007-2013 EN LOS QUE
001012;23290;01;F;IDENTIFICACIÓN Y ANÁLISIS DE NUEVAS FUENTES DE FINANCIACIÓN PROCEDENTESDE LA UNIÓN EUROPEA.
001012;23290;01;G;ASESORAR Y ASISTIR A LAS DISTINTAS UNIDADES DIRECTIVAS EN LAPRESENTACIÓN DE SOLICITUDES DE AYUDA A LA UNIÓN EUROPEA PARA
001012;23290;01;H;PREPARAR LOS PROYECTOS DE PARTICIPACIÓN DEL AYUNTAMIENTO DE MADRID ENLOS PROGRAMAS COFINANCIADOS POR FONDOS EUROPEOS DEL
001012;23290;02;A;Tramitación y seguimiento del Convenio.
001012;23290;02;B;Estudio y tramitación de las modificaciones del Convenio.
001012;23290;02;C;Informes de seguimineto técnico del Convenio.
001012;23290;02;D;Reuniones de coordinación con responsables de las distintas Áreasfuncionales del Ayuntamiento de Madrid, a fin de defini
001012;23290;02;E;Reuniones, asesoría, información con la entidad convenida.
001012;23290;03;A;Tramitación y seguimiento del Convenio.
001012;23290;03;B;Estudio y tramitación modificación del Convenio.
001012;23290;03;C;Informes de seguimiento técnico del Convenio.
001012;23290;03;D;Reuniones asesoría, información con la entidad convenida.
001012;46200;01;A;Atraer y facilitar el desarrollo de eventos de innovación en la ciudadde Madrid tanto nacionales como internacionales, p
001012;46200;01;B;Trabajar con las grandes empresas de la ciudad para realizar acciones deinnovación abierta y de este modo ponerles en co
001012;46200;01;C;Apoyo a proyectos innovadores, incluyendo asesoramiento y servicios deapoyo para la creación de startups en el edificio
001012;46200;02;A;Difundir el sello pyme innovadora entre las pymes de la ciudad mediantecampañas de comunicación y otras actividades. Exp
001012;46200;02;B;Impulsar la innovación en las pymes mediante diferentes acciones(congresos, eventos de comunicación, seminarios, proyect
001012;46200;02;C;Colaborar con todos los agentes de innovación tanto públicos comoprivados para que, en la medida de lo posible, las acci
001012;46200;03;A;Realizar un estudio y preparar la compra pública innovadora atendiendo alas necesidades de la ciudad.
001012;46200;03;B;Participar en las redes de ciudades intercambiando las mejores prácticasy la experiencia en compra pública innovadora pa
001012;46200;03;C;Realizar las primeras acciones de compra pública innovadora en los temasprioritarios de la ciudad susceptibles de aborda
001012;46200;04;A;Desarrollar un plan de ciudad inteligente en Madrid incorporando a todaslas Áreas interesadas en emplear la tecnología p
001012;46200;04;B;Realizar actuaciones con empresas de tecnología interesadas en elconcepto de ciudad inteligente y colaborar para resolve
001012;46200;04;C;Impulsar a las startups y a los innovadores que desarrollen solucionestecnológicas que mejoren la vida de la ciudad. De
001012;46200;04;D;Participar en las redes de ciudades para intercambiar las buenasprácticas y compartir conocimiento y experiencia. En par
001012;91202;01;A;Elaboración de los programas de los actos de la Alcaldía
001012;91202;01;B;Coordinación y supervisión de los actos institucionales a los que asistala Alcaldesa o Concejal en que en su caso delegu
001012;91202;01;C;Planificación y organización de las visitas al Ayuntamiento de Madrid delos Jefes de Estado y altos dignatarios
001012;91202;01;D;Asesoramiento en las materias inherentes a las relaciones públicas y elprotocolo
001012;91202;02;A;Coordinar con los servicios gestores la tramitación y seguimiento de laspeticiones de dictamen al Consejo Consultivo de
001012;91202;02;B;Seguimiento y gestión de las peticiones de la Oficina del Defensor delPueblo
001012;91202;02;C;Tramitación de las observaciones sobre los procedimientos requeridos porla Unión Europea
001012;92207;01;A;Impulso y seguimiento de la participación de miembros de la Corporación, directivos o personal municipal en las distinta
001012;92207;01;B;Seguimiento e impulso de la participación del Ayuntamiento de Madrid en otras organizaciones y foros internacionales y n
001012;92207;01;C;Seguimiento de la relación del Ayuntamiento con los Consorcios y Fundaciones
001012;92207;01;D;Estudio e informe de la posible adhesión de Madrid a otras organizaciones o instancias internacionales o nacionales
001012;92207;01;E;Estudio, documentación e informe de asuntos internacionales e institucionales de carácter multilateral
001012;92207;01;F;Centralización de la información relativa a la actividad internacional del Ayuntamiento
001012;92207;01;G;Relación con organismos internacionales acreditados en Madrid
